lose appetite,isPartial,date
57,False,2019-01-06
58,False,2019-01-13
46,False,2019-01-20
44,False,2019-01-27
54,False,2019-02-03
51,False,2019-02-10
53,False,2019-02-17
45,False,2019-02-24
66,False,2019-03-03
65,False,2019-03-10
62,False,2019-03-17
61,False,2019-03-24
57,False,2019-03-31
47,False,2019-04-07
63,False,2019-04-14
44,False,2019-04-21
64,False,2019-04-28
45,False,2019-05-05
79,False,2019-05-12
59,False,2019-05-19
68,False,2019-05-26
54,False,2019-06-02
77,False,2019-06-09
71,False,2019-06-16
64,False,2019-06-23
67,False,2019-06-30
55,False,2019-07-07
65,False,2019-07-14
48,False,2019-07-21
71,False,2019-07-28
68,False,2019-08-04
48,False,2019-08-11
61,False,2019-08-18
69,False,2019-08-25
67,False,2019-09-01
46,False,2019-09-08
75,False,2019-09-15
48,False,2019-09-22
50,False,2019-09-29
41,False,2019-10-06
71,False,2019-10-13
36,False,2019-10-20
59,False,2019-10-27
53,False,2019-11-03
43,False,2019-11-10
51,False,2019-11-17
50,False,2019-11-24
76,False,2019-12-01
46,False,2019-12-08
59,False,2019-12-15
58,False,2019-12-22
75,False,2019-12-29
87,False,2020-01-05
64,False,2020-01-12
64,False,2020-01-19
73,False,2020-01-26
73,False,2020-02-02
73,False,2020-02-09
66,False,2020-02-16
55,False,2020-02-23
48,False,2020-03-01
55,False,2020-03-08
73,False,2020-03-15
67,False,2020-03-22
69,False,2020-03-29
57,False,2020-04-05
72,False,2020-04-12
81,False,2020-04-19
89,False,2020-04-26
80,False,2020-05-03
61,False,2020-05-10
70,False,2020-05-17
80,False,2020-05-24
62,False,2020-05-31
88,False,2020-06-07
70,False,2020-06-14
84,False,2020-06-21
100,False,2020-06-28
80,False,2020-07-05
87,False,2020-07-12
82,False,2020-07-19
77,False,2020-07-26
58,False,2020-08-02
73,False,2020-08-09
72,False,2020-08-16
69,False,2020-08-23
86,False,2020-08-30
