ways to kill yourself,isPartial,date
0,False,2019-09-22
54,False,2019-09-29
0,False,2019-10-06
35,False,2019-10-13
35,False,2019-10-20
35,False,2019-10-27
34,False,2019-11-03
69,False,2019-11-10
35,False,2019-11-17
36,False,2019-11-24
68,False,2019-12-01
69,False,2019-12-08
34,False,2019-12-15
0,False,2019-12-22
34,False,2019-12-29
33,False,2020-01-05
32,False,2020-01-12
65,False,2020-01-19
32,False,2020-01-26
47,False,2020-02-02
31,False,2020-02-09
92,False,2020-02-16
31,False,2020-02-23
30,False,2020-03-01
30,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
29,False,2020-03-29
29,False,2020-04-05
28,False,2020-04-12
0,False,2020-04-19
73,False,2020-04-26
29,False,2020-05-03
59,False,2020-05-10
44,False,2020-05-17
30,False,2020-05-24
29,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
63,False,2020-06-21
32,False,2020-06-28
0,False,2020-07-05
33,False,2020-07-12
33,False,2020-07-19
100,False,2020-07-26
33,False,2020-08-02
33,False,2020-08-09
0,False,2020-08-16
32,False,2020-08-23
31,False,2020-08-30
64,False,2020-09-06
73,True,2020-09-13
