how to kill yourself -dayz -ark -rust,isPartial,date
35,False,2019-01-06
34,False,2019-01-13
34,False,2019-01-20
34,False,2019-01-27
50,False,2019-02-03
45,False,2019-02-10
33,False,2019-02-17
100,False,2019-02-24
69,False,2019-03-03
87,False,2019-03-10
70,False,2019-03-17
34,False,2019-03-24
35,False,2019-03-31
36,False,2019-04-07
36,False,2019-04-14
54,False,2019-04-21
53,False,2019-04-28
54,False,2019-05-05
36,False,2019-05-12
37,False,2019-05-19
95,False,2019-05-26
37,False,2019-06-02
0,False,2019-06-09
38,False,2019-06-16
37,False,2019-06-23
57,False,2019-06-30
37,False,2019-07-07
75,False,2019-07-14
0,False,2019-07-21
74,False,2019-07-28
72,False,2019-08-04
0,False,2019-08-11
69,False,2019-08-18
34,False,2019-08-25
33,False,2019-09-01
65,False,2019-09-08
33,False,2019-09-15
33,False,2019-09-22
67,False,2019-09-29
70,False,2019-10-06
33,False,2019-10-13
65,False,2019-10-20
50,False,2019-10-27
64,False,2019-11-03
0,False,2019-11-10
32,False,2019-11-17
0,False,2019-11-24
32,False,2019-12-01
33,False,2019-12-08
33,False,2019-12-15
35,False,2019-12-22
34,False,2019-12-29
32,False,2020-01-05
45,False,2020-01-12
31,False,2020-01-19
30,False,2020-01-26
90,False,2020-02-02
30,False,2020-02-09
0,False,2020-02-16
39,False,2020-02-23
29,False,2020-03-01
29,False,2020-03-08
28,False,2020-03-15
28,False,2020-03-22
27,False,2020-03-29
55,False,2020-04-05
54,False,2020-04-12
27,False,2020-04-19
0,False,2020-04-26
68,False,2020-05-03
37,False,2020-05-10
28,False,2020-05-17
48,False,2020-05-24
27,False,2020-05-31
28,False,2020-06-07
28,False,2020-06-14
29,False,2020-06-21
30,False,2020-06-28
75,False,2020-07-05
60,False,2020-07-12
62,False,2020-07-19
30,False,2020-07-26
29,False,2020-08-02
28,False,2020-08-09
28,False,2020-08-16
42,False,2020-08-23
42,False,2020-08-30
