suicide note,isPartial,date
28,False,2019-08-11
19,False,2019-08-18
16,False,2019-08-25
22,False,2019-09-01
25,False,2019-09-08
25,False,2019-09-15
19,False,2019-09-22
29,False,2019-09-29
18,False,2019-10-06
23,False,2019-10-13
24,False,2019-10-20
20,False,2019-10-27
19,False,2019-11-03
24,False,2019-11-10
24,False,2019-11-17
24,False,2019-11-24
22,False,2019-12-01
20,False,2019-12-08
40,False,2019-12-15
100,False,2019-12-22
36,False,2019-12-29
27,False,2020-01-05
52,False,2020-01-12
60,False,2020-01-19
41,False,2020-01-26
35,False,2020-02-02
32,False,2020-02-09
36,False,2020-02-16
31,False,2020-02-23
31,False,2020-03-01
22,False,2020-03-08
24,False,2020-03-15
22,False,2020-03-22
23,False,2020-03-29
21,False,2020-04-05
20,False,2020-04-12
25,False,2020-04-19
20,False,2020-04-26
18,False,2020-05-03
22,False,2020-05-10
22,False,2020-05-17
22,False,2020-05-24
16,False,2020-05-31
22,False,2020-06-07
23,False,2020-06-14
23,False,2020-06-21
29,False,2020-06-28
31,False,2020-07-05
24,False,2020-07-12
23,False,2020-07-19
22,False,2020-07-26
14,True,2020-08-02
