suicide chat,isPartial,date
34,False,2019-09-08
54,False,2019-09-15
99,False,2019-09-22
55,False,2019-09-29
50,False,2019-10-06
74,False,2019-10-13
58,False,2019-10-20
64,False,2019-10-27
59,False,2019-11-03
48,False,2019-11-10
68,False,2019-11-17
46,False,2019-11-24
57,False,2019-12-01
53,False,2019-12-08
40,False,2019-12-15
100,False,2019-12-22
82,False,2019-12-29
67,False,2020-01-05
82,False,2020-01-12
36,False,2020-01-19
75,False,2020-01-26
56,False,2020-02-02
70,False,2020-02-09
69,False,2020-02-16
45,False,2020-02-23
36,False,2020-03-01
53,False,2020-03-08
79,False,2020-03-15
58,False,2020-03-22
44,False,2020-03-29
81,False,2020-04-05
54,False,2020-04-12
73,False,2020-04-19
74,False,2020-04-26
45,False,2020-05-03
47,False,2020-05-10
64,False,2020-05-17
31,False,2020-05-24
70,False,2020-05-31
48,False,2020-06-07
63,False,2020-06-14
73,False,2020-06-21
70,False,2020-06-28
65,False,2020-07-05
60,False,2020-07-12
75,False,2020-07-19
61,False,2020-07-26
28,False,2020-08-02
65,False,2020-08-09
50,False,2020-08-16
35,False,2020-08-23
83,True,2020-08-30
