suicide help + suicide help near me,isPartial,date
0,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
68,False,2019-01-27
33,False,2019-02-03
33,False,2019-02-10
65,False,2019-02-17
33,False,2019-02-24
35,False,2019-03-03
35,False,2019-03-10
35,False,2019-03-17
0,False,2019-03-24
53,False,2019-03-31
71,False,2019-04-07
36,False,2019-04-14
71,False,2019-04-21
36,False,2019-04-28
36,False,2019-05-05
36,False,2019-05-12
75,False,2019-05-19
38,False,2019-05-26
0,False,2019-06-02
36,False,2019-06-09
0,False,2019-06-16
73,False,2019-06-23
38,False,2019-06-30
0,False,2019-07-07
37,False,2019-07-14
0,False,2019-07-21
37,False,2019-07-28
0,False,2019-08-04
0,False,2019-08-11
0,False,2019-08-18
34,False,2019-08-25
33,False,2019-09-01
97,False,2019-09-08
0,False,2019-09-15
33,False,2019-09-22
0,False,2019-09-29
34,False,2019-10-06
100,False,2019-10-13
33,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
63,False,2019-11-17
0,False,2019-11-24
32,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
32,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
30,False,2020-01-26
0,False,2020-02-02
30,False,2020-02-09
30,False,2020-02-16
29,False,2020-02-23
29,False,2020-03-01
29,False,2020-03-08
29,False,2020-03-15
0,False,2020-03-22
27,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
27,False,2020-04-19
27,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
28,False,2020-05-17
43,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
57,False,2020-06-14
0,False,2020-06-21
60,False,2020-06-28
30,False,2020-07-05
30,False,2020-07-12
30,False,2020-07-19
0,False,2020-07-26
29,False,2020-08-02
0,False,2020-08-09
56,False,2020-08-16
27,False,2020-08-23
28,False,2020-08-30
