suicide sympathy,isPartial,date
25,False,2019-01-06
24,False,2019-01-13
36,False,2019-01-20
24,False,2019-01-27
35,False,2019-02-03
31,False,2019-02-10
36,False,2019-02-17
46,False,2019-02-24
36,False,2019-03-03
24,False,2019-03-10
25,False,2019-03-17
25,False,2019-03-24
0,False,2019-03-31
24,False,2019-04-07
51,False,2019-04-14
100,False,2019-04-21
49,False,2019-04-28
25,False,2019-05-05
25,False,2019-05-12
0,False,2019-05-19
26,False,2019-05-26
25,False,2019-06-02
25,False,2019-06-09
25,False,2019-06-16
26,False,2019-06-23
0,False,2019-06-30
25,False,2019-07-07
50,False,2019-07-14
26,False,2019-07-21
26,False,2019-07-28
26,False,2019-08-04
25,False,2019-08-11
49,False,2019-08-18
24,False,2019-08-25
23,False,2019-09-01
45,False,2019-09-08
0,False,2019-09-15
46,False,2019-09-22
23,False,2019-09-29
23,False,2019-10-06
34,False,2019-10-13
30,False,2019-10-20
30,False,2019-10-27
23,False,2019-11-03
37,False,2019-11-10
45,False,2019-11-17
59,False,2019-11-24
66,False,2019-12-01
22,False,2019-12-08
46,False,2019-12-15
0,False,2019-12-22
24,False,2019-12-29
0,False,2020-01-05
21,False,2020-01-12
45,False,2020-01-19
22,False,2020-01-26
54,False,2020-02-02
54,False,2020-02-09
21,False,2020-02-16
0,False,2020-02-23
31,False,2020-03-01
21,False,2020-03-08
20,False,2020-03-15
20,False,2020-03-22
0,False,2020-03-29
20,False,2020-04-05
32,False,2020-04-12
19,False,2020-04-19
19,False,2020-04-26
19,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
20,False,2020-05-24
19,False,2020-05-31
20,False,2020-06-07
21,False,2020-06-14
21,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
22,False,2020-08-02
21,False,2020-08-09
21,False,2020-08-16
41,False,2020-08-23
0,False,2020-08-30
