suicide quotes + suicide help quotes + suicide sympathy + suicide survivor quotes,isPartial,date
46,False,2019-01-06
45,False,2019-01-13
68,False,2019-01-20
45,False,2019-01-27
87,False,2019-02-03
44,False,2019-02-10
0,False,2019-02-17
0,False,2019-02-24
46,False,2019-03-03
0,False,2019-03-10
0,False,2019-03-17
0,False,2019-03-24
0,False,2019-03-31
47,False,2019-04-07
0,False,2019-04-14
47,False,2019-04-21
0,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
100,False,2019-05-26
0,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
99,False,2019-06-23
0,False,2019-06-30
0,False,2019-07-07
49,False,2019-07-14
99,False,2019-07-21
0,False,2019-07-28
0,False,2019-08-04
46,False,2019-08-11
45,False,2019-08-18
45,False,2019-08-25
43,False,2019-09-01
43,False,2019-09-08
43,False,2019-09-15
0,False,2019-09-22
44,False,2019-09-29
45,False,2019-10-06
0,False,2019-10-13
43,False,2019-10-20
44,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
43,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
42,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
40,False,2020-01-26
0,False,2020-02-02
40,False,2020-02-09
80,False,2020-02-16
39,False,2020-02-23
39,False,2020-03-01
38,False,2020-03-08
38,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
36,False,2020-04-05
0,False,2020-04-12
35,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
37,False,2020-05-10
0,False,2020-05-17
38,False,2020-05-24
36,False,2020-05-31
37,False,2020-06-07
37,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
40,False,2020-07-19
0,False,2020-07-26
38,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
0,False,2020-08-30
