suicide text,isPartial,date
0,False,2019-09-22
45,False,2019-09-29
33,False,2019-10-06
44,False,2019-10-13
22,False,2019-10-20
44,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
45,False,2019-11-24
21,False,2019-12-01
0,False,2019-12-08
22,False,2019-12-15
67,False,2019-12-22
21,False,2019-12-29
62,False,2020-01-05
20,False,2020-01-12
0,False,2020-01-19
20,False,2020-01-26
20,False,2020-02-02
20,False,2020-02-09
19,False,2020-02-16
0,False,2020-02-23
19,False,2020-03-01
19,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
18,False,2020-03-29
37,False,2020-04-05
0,False,2020-04-12
18,False,2020-04-19
0,False,2020-04-26
36,False,2020-05-03
18,False,2020-05-10
0,False,2020-05-17
19,False,2020-05-24
46,False,2020-05-31
0,False,2020-06-07
29,False,2020-06-14
20,False,2020-06-21
40,False,2020-06-28
21,False,2020-07-05
20,False,2020-07-12
20,False,2020-07-19
21,False,2020-07-26
20,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
0,False,2020-08-30
100,False,2020-09-06
45,True,2020-09-13
