suicide online chat,isPartial,date
0,False,2019-09-08
100,False,2019-09-15
34,False,2019-09-22
34,False,2019-09-29
34,False,2019-10-06
33,False,2019-10-13
66,False,2019-10-20
33,False,2019-10-27
33,False,2019-11-03
33,False,2019-11-10
49,False,2019-11-17
35,False,2019-11-24
48,False,2019-12-01
33,False,2019-12-08
34,False,2019-12-15
38,False,2019-12-22
35,False,2019-12-29
0,False,2020-01-05
46,False,2020-01-12
32,False,2020-01-19
48,False,2020-01-26
32,False,2020-02-02
63,False,2020-02-09
31,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
29,False,2020-03-15
29,False,2020-03-22
28,False,2020-03-29
29,False,2020-04-05
0,False,2020-04-12
64,False,2020-04-19
84,False,2020-04-26
28,False,2020-05-03
58,False,2020-05-10
0,False,2020-05-17
30,False,2020-05-24
0,False,2020-05-31
44,False,2020-06-07
40,False,2020-06-14
31,False,2020-06-21
63,False,2020-06-28
31,False,2020-07-05
0,False,2020-07-12
32,False,2020-07-19
64,False,2020-07-26
32,False,2020-08-02
32,False,2020-08-09
46,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
