suicide text,isPartial,date
0,False,2015-09-20
0,False,2015-09-27
0,False,2015-10-04
0,False,2015-10-11
52,False,2015-10-18
0,False,2015-10-25
0,False,2015-11-01
54,False,2015-11-08
0,False,2015-11-15
0,False,2015-11-22
0,False,2015-11-29
51,False,2015-12-06
0,False,2015-12-13
0,False,2015-12-20
0,False,2015-12-27
0,False,2016-01-03
45,False,2016-01-10
0,False,2016-01-17
0,False,2016-01-24
0,False,2016-01-31
45,False,2016-02-07
0,False,2016-02-14
0,False,2016-02-21
45,False,2016-02-28
0,False,2016-03-06
46,False,2016-03-13
0,False,2016-03-20
46,False,2016-03-27
0,False,2016-04-03
0,False,2016-04-10
0,False,2016-04-17
0,False,2016-04-24
45,False,2016-05-01
47,False,2016-05-08
0,False,2016-05-15
49,False,2016-05-22
0,False,2016-05-29
48,False,2016-06-05
49,False,2016-06-12
0,False,2016-06-19
0,False,2016-06-26
0,False,2016-07-03
0,False,2016-07-10
0,False,2016-07-17
0,False,2016-07-24
100,False,2016-07-31
0,False,2016-08-07
0,False,2016-08-14
0,False,2016-08-21
0,False,2016-08-28
0,False,2016-09-04
0,False,2016-09-11
46,False,2016-09-18
46,False,2016-09-25
46,False,2016-10-02
0,False,2016-10-09
0,False,2016-10-16
0,False,2016-10-23
45,False,2016-10-30
42,False,2016-11-06
0,False,2016-11-13
0,False,2016-11-20
0,False,2016-11-27
0,False,2016-12-04
0,False,2016-12-11
46,False,2016-12-18
0,False,2016-12-25
45,False,2017-01-01
0,False,2017-01-08
41,False,2017-01-15
0,False,2017-01-22
0,False,2017-01-29
0,False,2017-02-05
0,False,2017-02-12
0,False,2017-02-19
38,False,2017-02-26
40,False,2017-03-05
40,False,2017-03-12
0,False,2017-03-19
0,False,2017-03-26
0,False,2017-04-02
0,False,2017-04-09
40,False,2017-04-16
80,False,2017-04-23
40,False,2017-04-30
83,False,2017-05-07
44,False,2017-05-14
44,False,2017-05-21
45,False,2017-05-28
66,False,2017-06-04
74,False,2017-06-11
85,False,2017-06-18
0,False,2017-06-25
47,False,2017-07-02
0,False,2017-07-09
44,False,2017-07-16
44,False,2017-07-23
42,False,2017-07-30
83,False,2017-08-06
41,False,2017-08-13
0,False,2017-08-20
40,False,2017-08-27
0,False,2017-09-03
39,False,2017-09-10
39,False,2017-09-17
59,False,2017-09-24
40,False,2017-10-01
0,False,2017-10-08
40,False,2017-10-15
0,False,2017-10-22
0,False,2017-10-29
39,False,2017-11-05
39,False,2017-11-12
0,False,2017-11-19
39,False,2017-11-26
40,False,2017-12-03
0,False,2017-12-10
0,False,2017-12-17
44,False,2017-12-24
41,False,2017-12-31
0,False,2018-01-07
38,False,2018-01-14
0,False,2018-01-21
38,False,2018-01-28
74,False,2018-02-04
37,False,2018-02-11
37,False,2018-02-18
37,False,2018-02-25
38,False,2018-03-04
37,False,2018-03-11
38,False,2018-03-18
0,False,2018-03-25
0,False,2018-04-01
38,False,2018-04-08
0,False,2018-04-15
38,False,2018-04-22
0,False,2018-04-29
0,False,2018-05-06
52,False,2018-05-13
40,False,2018-05-20
62,False,2018-05-27
54,False,2018-06-03
0,False,2018-06-10
0,False,2018-06-17
