suicide help near me,isPartial,date
27,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
25,False,2019-02-03
26,False,2019-02-10
26,False,2019-02-17
25,False,2019-02-24
0,False,2019-03-03
0,False,2019-03-10
27,False,2019-03-17
27,False,2019-03-24
27,False,2019-03-31
27,False,2019-04-07
0,False,2019-04-14
0,False,2019-04-21
27,False,2019-04-28
27,False,2019-05-05
55,False,2019-05-12
28,False,2019-05-19
28,False,2019-05-26
82,False,2019-06-02
55,False,2019-06-09
55,False,2019-06-16
0,False,2019-06-23
29,False,2019-06-30
28,False,2019-07-07
28,False,2019-07-14
0,False,2019-07-21
28,False,2019-07-28
55,False,2019-08-04
27,False,2019-08-11
27,False,2019-08-18
26,False,2019-08-25
51,False,2019-09-01
0,False,2019-09-08
25,False,2019-09-15
25,False,2019-09-22
0,False,2019-09-29
25,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
100,False,2019-10-27
25,False,2019-11-03
0,False,2019-11-10
25,False,2019-11-17
39,False,2019-11-24
24,False,2019-12-01
25,False,2019-12-08
51,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
24,False,2020-01-05
23,False,2020-01-12
24,False,2020-01-19
47,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
24,False,2020-02-16
23,False,2020-02-23
34,False,2020-03-01
0,False,2020-03-08
22,False,2020-03-15
22,False,2020-03-22
32,False,2020-03-29
42,False,2020-04-05
21,False,2020-04-12
21,False,2020-04-19
21,False,2020-04-26
21,False,2020-05-03
0,False,2020-05-10
21,False,2020-05-17
0,False,2020-05-24
21,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
23,False,2020-06-21
0,False,2020-06-28
23,False,2020-07-05
24,False,2020-07-12
24,False,2020-07-19
24,False,2020-07-26
24,False,2020-08-02
82,False,2020-08-09
23,False,2020-08-16
22,False,2020-08-23
22,False,2020-08-30
