frighten,isPartial,date
34,False,2019-09-08
51,False,2019-09-15
34,False,2019-09-22
34,False,2019-09-29
68,False,2019-10-06
34,False,2019-10-13
100,False,2019-10-20
0,False,2019-10-27
33,False,2019-11-03
32,False,2019-11-10
50,False,2019-11-17
35,False,2019-11-24
0,False,2019-12-01
50,False,2019-12-08
33,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
31,False,2020-01-05
45,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
30,False,2020-02-02
0,False,2020-02-09
58,False,2020-02-16
29,False,2020-02-23
58,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
28,False,2020-03-29
56,False,2020-04-05
28,False,2020-04-12
27,False,2020-04-19
42,False,2020-04-26
55,False,2020-05-03
56,False,2020-05-10
0,False,2020-05-17
72,False,2020-05-24
28,False,2020-05-31
29,False,2020-06-07
0,False,2020-06-14
30,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
47,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
