fearful,isPartial,date
71,False,2019-08-25
72,False,2019-09-01
0,False,2019-09-08
69,False,2019-09-15
71,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
71,False,2019-10-20
70,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
70,False,2019-11-17
73,False,2019-11-24
0,False,2019-12-01
70,False,2019-12-08
72,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
97,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
67,False,2020-02-02
0,False,2020-02-09
65,False,2020-02-16
64,False,2020-02-23
66,False,2020-03-01
98,False,2020-03-08
0,False,2020-03-15
62,False,2020-03-22
0,False,2020-03-29
100,False,2020-04-05
57,False,2020-04-12
58,False,2020-04-19
59,False,2020-04-26
58,False,2020-05-03
59,False,2020-05-10
63,False,2020-05-17
65,False,2020-05-24
0,False,2020-05-31
65,False,2020-06-07
66,False,2020-06-14
68,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
68,False,2020-07-12
69,False,2020-07-19
70,False,2020-07-26
0,False,2020-08-02
70,False,2020-08-09
0,True,2020-08-16
