frighten,isPartial,date
30,False,2019-09-08
0,False,2019-09-15
30,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
30,False,2019-11-03
29,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
31,False,2019-12-08
0,False,2019-12-15
33,False,2019-12-22
31,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
29,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
28,False,2020-02-23
0,False,2020-03-01
27,False,2020-03-08
0,False,2020-03-15
26,False,2020-03-22
51,False,2020-03-29
53,False,2020-04-05
26,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
26,False,2020-05-10
0,False,2020-05-17
26,False,2020-05-24
49,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
27,False,2020-06-21
27,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
28,False,2020-08-09
28,False,2020-08-16
0,False,2020-08-23
100,True,2020-08-30
