frighten,isPartial,date
49,False,2019-08-25
62,False,2019-09-01
74,False,2019-09-08
49,False,2019-09-15
70,False,2019-09-22
61,False,2019-09-29
93,False,2019-10-06
48,False,2019-10-13
51,False,2019-10-20
72,False,2019-10-27
60,False,2019-11-03
62,False,2019-11-10
77,False,2019-11-17
54,False,2019-11-24
35,False,2019-12-01
55,False,2019-12-08
25,False,2019-12-15
15,False,2019-12-22
33,False,2019-12-29
65,False,2020-01-05
46,False,2020-01-12
59,False,2020-01-19
51,False,2020-01-26
62,False,2020-02-02
45,False,2020-02-09
48,False,2020-02-16
72,False,2020-02-23
67,False,2020-03-01
45,False,2020-03-08
54,False,2020-03-15
70,False,2020-03-22
63,False,2020-03-29
79,False,2020-04-05
58,False,2020-04-12
82,False,2020-04-19
75,False,2020-04-26
58,False,2020-05-03
60,False,2020-05-10
70,False,2020-05-17
100,False,2020-05-24
67,False,2020-05-31
39,False,2020-06-07
35,False,2020-06-14
52,False,2020-06-21
27,False,2020-06-28
34,False,2020-07-05
49,False,2020-07-12
41,False,2020-07-19
37,False,2020-07-26
46,False,2020-08-02
40,False,2020-08-09
25,True,2020-08-16
