hypervigilant,isPartial,date
32,False,2019-08-25
31,False,2019-09-01
23,False,2019-09-08
45,False,2019-09-15
69,False,2019-09-22
54,False,2019-09-29
23,False,2019-10-06
76,False,2019-10-13
53,False,2019-10-20
38,False,2019-10-27
53,False,2019-11-03
37,False,2019-11-10
74,False,2019-11-17
31,False,2019-11-24
58,False,2019-12-01
37,False,2019-12-08
31,False,2019-12-15
26,False,2019-12-22
31,False,2019-12-29
51,False,2020-01-05
49,False,2020-01-12
81,False,2020-01-19
43,False,2020-01-26
43,False,2020-02-02
65,False,2020-02-09
35,False,2020-02-16
56,False,2020-02-23
76,False,2020-03-01
48,False,2020-03-08
75,False,2020-03-15
66,False,2020-03-22
96,False,2020-03-29
59,False,2020-04-05
50,False,2020-04-12
25,False,2020-04-19
44,False,2020-04-26
38,False,2020-05-03
33,False,2020-05-10
52,False,2020-05-17
54,False,2020-05-24
71,False,2020-05-31
53,False,2020-06-07
83,False,2020-06-14
83,False,2020-06-21
100,False,2020-06-28
35,False,2020-07-05
36,False,2020-07-12
79,False,2020-07-19
87,False,2020-07-26
35,False,2020-08-02
57,False,2020-08-09
49,True,2020-08-16
