Category: All categories

Day,disorder: (United States)
2019-09-12,82
2019-09-13,68
2019-09-14,57
2019-09-15,57
2019-09-16,73
2019-09-17,76
2019-09-18,74
2019-09-19,82
2019-09-20,78
2019-09-21,56
2019-09-22,61
2019-09-23,76
2019-09-24,84
2019-09-25,81
2019-09-26,83
2019-09-27,75
2019-09-28,58
2019-09-29,60
2019-09-30,79
2019-10-01,79
2019-10-02,84
2019-10-03,83
2019-10-04,77
2019-10-05,63
2019-10-06,61
2019-10-07,86
2019-10-08,86
2019-10-09,90
2019-10-10,86
2019-10-11,81
2019-10-12,59
2019-10-13,68
2019-10-14,83
2019-10-15,88
2019-10-16,86
2019-10-17,89
2019-10-18,77
2019-10-19,62
2019-10-20,67
2019-10-21,84
2019-10-22,94
2019-10-23,97
2019-10-24,86
2019-10-25,79
2019-10-26,61
2019-10-27,66
2019-10-28,84
2019-10-29,85
2019-10-30,87
2019-10-31,84
2019-11-01,76
2019-11-02,67
2019-11-03,67
2019-11-04,92
2019-11-05,89
2019-11-06,90
2019-11-07,95
2019-11-08,80
2019-11-09,66
2019-11-10,63
2019-11-11,83
2019-11-12,85
2019-11-13,86
2019-11-14,94
2019-11-15,86
2019-11-16,70
2019-11-17,65
2019-11-18,91
2019-11-19,95
2019-11-20,97
2019-11-21,94
2019-11-22,89
2019-11-23,62
2019-11-24,64
2019-11-25,90
2019-11-26,82
2019-11-27,72
2019-11-28,54
2019-11-29,49
2019-11-30,55
2019-12-01,67
2019-12-02,86
2019-12-03,94
2019-12-04,99
2019-12-05,97
2019-12-06,83
2019-12-07,62
2019-12-08,63
2019-12-09,88
2019-12-10,86
2019-12-11,88
2019-12-12,90
2019-12-13,79
2019-12-14,61
2019-12-15,58
2019-12-16,79
2019-12-17,78
2019-12-18,79
2019-12-19,67
2019-12-20,69
2019-12-21,52
2019-12-22,51
2019-12-23,60
2019-12-24,53
2019-12-25,45
2019-12-26,57
2019-12-27,60
2019-12-28,57
2019-12-29,51
2019-12-30,64
2019-12-31,55
2020-01-01,50
2020-01-02,64
2020-01-03,71
2020-01-04,60
2020-01-05,58
2020-01-06,65
2020-01-07,79
2020-01-08,76
2020-01-09,78
2020-01-10,71
2020-01-11,57
2020-01-12,59
2020-01-13,77
2020-01-14,78
2020-01-15,86
2020-01-16,81
2020-01-17,78
2020-01-18,61
2020-01-19,60
2020-01-20,60
2020-01-21,80
2020-01-22,79
2020-01-23,87
2020-01-24,83
2020-01-25,69
2020-01-26,61
2020-01-27,80
2020-01-28,86
2020-01-29,88
2020-01-30,89
2020-01-31,80
2020-02-01,63
2020-02-02,59
2020-02-03,72
2020-02-04,86
2020-02-05,83
2020-02-06,84
2020-02-07,78
2020-02-08,62
2020-02-09,68
2020-02-10,83
2020-02-11,87
2020-02-12,87
2020-02-13,88
2020-02-14,76
2020-02-15,57
2020-02-16,71
2020-02-17,82
2020-02-18,89
2020-02-19,100
2020-02-20,92
2020-02-21,81
2020-02-22,66
2020-02-23,68
2020-02-24,93
2020-02-25,95
2020-02-26,91
2020-02-27,92
2020-02-28,83
2020-02-29,71
2020-03-01,68
2020-03-02,91
2020-03-03,87
2020-03-04,86
2020-03-05,97
2020-03-06,90
2020-03-07,64
2020-03-08,67
2020-03-09,84
2020-03-10,89
2020-03-11,82
2020-03-12,71
2020-03-13,68
2020-03-14,58
2020-03-15,55
2020-03-16,62
2020-03-17,53
2020-03-18,59
2020-03-19,62
2020-03-20,54
2020-03-21,50
2020-03-22,53
2020-03-23,61
2020-03-24,64
2020-03-25,66
2020-03-26,69
2020-03-27,63
2020-03-28,57
2020-03-29,66
2020-03-30,66
2020-03-31,65
2020-04-01,67
2020-04-02,67
2020-04-03,71
2020-04-04,63
2020-04-05,61
2020-04-06,69
2020-04-07,76
2020-04-08,70
2020-04-09,71
2020-04-10,67
2020-04-11,65
2020-04-12,64
2020-04-13,78
2020-04-14,74
2020-04-15,72
2020-04-16,72
2020-04-17,71
2020-04-18,66
2020-04-19,71
2020-04-20,74
2020-04-21,73
2020-04-22,79
2020-04-23,74
2020-04-24,72
2020-04-25,63
2020-04-26,69
2020-04-27,80
2020-04-28,80
2020-04-29,80
2020-04-30,83
2020-05-01,74
2020-05-02,69
2020-05-03,73
2020-05-04,76
2020-05-05,79
2020-05-06,77
2020-05-07,82
2020-05-08,66
