suicide forum,isPartial,date
48,False,2015-09-20
38,False,2015-09-27
38,False,2015-10-04
38,False,2015-10-11
19,False,2015-10-18
37,False,2015-10-25
43,False,2015-11-01
94,False,2015-11-08
31,False,2015-11-15
41,False,2015-11-22
45,False,2015-11-29
49,False,2015-12-06
38,False,2015-12-13
36,False,2015-12-20
40,False,2015-12-27
26,False,2016-01-03
45,False,2016-01-10
41,False,2016-01-17
23,False,2016-01-24
25,False,2016-01-31
23,False,2016-02-07
36,False,2016-02-14
40,False,2016-02-21
45,False,2016-02-28
40,False,2016-03-06
15,False,2016-03-13
23,False,2016-03-20
42,False,2016-03-27
23,False,2016-04-03
31,False,2016-04-10
36,False,2016-04-17
46,False,2016-04-24
36,False,2016-05-01
21,False,2016-05-08
37,False,2016-05-15
56,False,2016-05-22
27,False,2016-05-29
16,False,2016-06-05
27,False,2016-06-12
41,False,2016-06-19
65,False,2016-06-26
67,False,2016-07-03
50,False,2016-07-10
33,False,2016-07-17
27,False,2016-07-24
100,False,2016-07-31
91,False,2016-08-07
53,False,2016-08-14
39,False,2016-08-21
21,False,2016-08-28
69,False,2016-09-04
31,False,2016-09-11
15,False,2016-09-18
26,False,2016-09-25
30,False,2016-10-02
21,False,2016-10-09
15,False,2016-10-16
31,False,2016-10-23
35,False,2016-10-30
29,False,2016-11-06
30,False,2016-11-13
42,False,2016-11-20
36,False,2016-11-27
28,False,2016-12-04
36,False,2016-12-11
16,False,2016-12-18
48,False,2016-12-25
37,False,2017-01-01
38,False,2017-01-08
28,False,2017-01-15
70,False,2017-01-22
32,False,2017-01-29
41,False,2017-02-05
20,False,2017-02-12
23,False,2017-02-19
49,False,2017-02-26
27,False,2017-03-05
27,False,2017-03-12
19,False,2017-03-19
33,False,2017-03-26
18,False,2017-04-02
43,False,2017-04-09
38,False,2017-04-16
35,False,2017-04-23
42,False,2017-04-30
24,False,2017-05-07
30,False,2017-05-14
35,False,2017-05-21
23,False,2017-05-28
30,False,2017-06-04
20,False,2017-06-11
58,False,2017-06-18
31,False,2017-06-25
38,False,2017-07-02
15,False,2017-07-09
23,False,2017-07-16
53,False,2017-07-23
25,False,2017-07-30
25,False,2017-08-06
35,False,2017-08-13
24,False,2017-08-20
29,False,2017-08-27
14,False,2017-09-03
19,False,2017-09-10
42,False,2017-09-17
43,False,2017-09-24
21,False,2017-10-01
28,False,2017-10-08
14,False,2017-10-15
14,False,2017-10-22
56,False,2017-10-29
27,False,2017-11-05
14,False,2017-11-12
24,False,2017-11-19
31,False,2017-11-26
18,False,2017-12-03
23,False,2017-12-10
29,False,2017-12-17
21,False,2017-12-24
43,False,2017-12-31
27,False,2018-01-07
50,False,2018-01-14
20,False,2018-01-21
22,False,2018-01-28
31,False,2018-02-04
33,False,2018-02-11
18,False,2018-02-18
40,False,2018-02-25
27,False,2018-03-04
27,False,2018-03-11
18,False,2018-03-18
21,False,2018-03-25
21,False,2018-04-01
23,False,2018-04-08
27,False,2018-04-15
41,False,2018-04-22
32,False,2018-04-29
27,False,2018-05-06
28,False,2018-05-13
52,False,2018-05-20
43,False,2018-05-27
24,False,2018-06-03
41,False,2018-06-10
19,False,2018-06-17
34,False,2018-06-24
30,False,2018-07-01
42,False,2018-07-08
51,False,2018-07-15
57,False,2018-07-22
14,False,2018-07-29
24,False,2018-08-05
19,False,2018-08-12
22,False,2018-08-19
35,False,2018-08-26
14,False,2018-09-02
47,False,2018-09-09
62,False,2018-09-16
23,False,2018-09-23
14,False,2018-09-30
28,False,2018-10-07
42,False,2018-10-14
23,False,2018-10-21
33,False,2018-10-28
26,False,2018-11-04
21,False,2018-11-11
43,False,2018-11-18
31,False,2018-11-25
13,False,2018-12-02
32,False,2018-12-09
28,False,2018-12-16
16,False,2018-12-23
37,False,2018-12-30
27,False,2019-01-06
18,False,2019-01-13
40,False,2019-01-20
31,False,2019-01-27
35,False,2019-02-03
20,False,2019-02-10
13,False,2019-02-17
26,False,2019-02-24
22,False,2019-03-03
27,False,2019-03-10
23,False,2019-03-17
23,False,2019-03-24
14,False,2019-03-31
13,False,2019-04-07
21,False,2019-04-14
21,False,2019-04-21
27,False,2019-04-28
14,False,2019-05-05
19,False,2019-05-12
42,False,2019-05-19
43,False,2019-05-26
41,False,2019-06-02
14,False,2019-06-09
28,False,2019-06-16
14,False,2019-06-23
39,False,2019-06-30
35,False,2019-07-07
28,False,2019-07-14
29,False,2019-07-21
29,False,2019-07-28
14,False,2019-08-04
41,False,2019-08-11
14,False,2019-08-18
31,False,2019-08-25
13,False,2019-09-01
19,False,2019-09-08
19,False,2019-09-15
38,False,2019-09-22
38,False,2019-09-29
45,False,2019-10-06
34,False,2019-10-13
38,False,2019-10-20
51,False,2019-10-27
34,False,2019-11-03
19,False,2019-11-10
19,False,2019-11-17
39,False,2019-11-24
33,False,2019-12-01
33,False,2019-12-08
21,False,2019-12-15
36,False,2019-12-22
35,False,2019-12-29
37,False,2020-01-05
29,False,2020-01-12
25,False,2020-01-19
24,False,2020-01-26
16,False,2020-02-02
48,False,2020-02-09
36,False,2020-02-16
41,False,2020-02-23
11,False,2020-03-01
19,False,2020-03-08
19,False,2020-03-15
18,False,2020-03-22
11,False,2020-03-29
18,False,2020-04-05
21,False,2020-04-12
18,False,2020-04-19
18,False,2020-04-26
42,False,2020-05-03
27,False,2020-05-10
18,False,2020-05-17
11,False,2020-05-24
11,False,2020-05-31
17,False,2020-06-07
29,False,2020-06-14
12,False,2020-06-21
36,False,2020-06-28
16,False,2020-07-05
24,False,2020-07-12
12,False,2020-07-19
12,False,2020-07-26
24,False,2020-08-02
20,False,2020-08-09
24,False,2020-08-16
28,False,2020-08-23
17,False,2020-08-30
15,False,2020-09-06
43,True,2020-09-13
