crisis text line,isPartial,date
0,False,2019-09-01
51,False,2019-09-08
0,False,2019-09-15
34,False,2019-09-22
51,False,2019-09-29
50,False,2019-10-06
0,False,2019-10-13
33,False,2019-10-20
33,False,2019-10-27
49,False,2019-11-03
33,False,2019-11-10
100,False,2019-11-17
0,False,2019-11-24
32,False,2019-12-01
0,False,2019-12-08
33,False,2019-12-15
51,False,2019-12-22
0,False,2019-12-29
31,False,2020-01-05
30,False,2020-01-12
0,False,2020-01-19
30,False,2020-01-26
30,False,2020-02-02
30,False,2020-02-09
0,False,2020-02-16
38,False,2020-02-23
0,False,2020-03-01
28,False,2020-03-08
29,False,2020-03-15
29,False,2020-03-22
37,False,2020-03-29
55,False,2020-04-05
27,False,2020-04-12
36,False,2020-04-19
56,False,2020-04-26
55,False,2020-05-03
28,False,2020-05-10
56,False,2020-05-17
43,False,2020-05-24
65,False,2020-05-31
38,False,2020-06-07
44,False,2020-06-14
30,False,2020-06-21
61,False,2020-06-28
46,False,2020-07-05
31,False,2020-07-12
63,False,2020-07-19
31,False,2020-07-26
0,False,2020-08-02
32,False,2020-08-09
31,False,2020-08-16
0,True,2020-08-23
