how to kill yourself,isPartial,date
14,False,2019-09-08
14,False,2019-09-15
14,False,2019-09-22
29,False,2019-09-29
15,False,2019-10-06
14,False,2019-10-13
0,False,2019-10-20
14,False,2019-10-27
14,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
15,False,2019-11-24
0,False,2019-12-01
14,False,2019-12-08
0,False,2019-12-15
16,False,2019-12-22
15,False,2019-12-29
14,False,2020-01-05
13,False,2020-01-12
14,False,2020-01-19
0,False,2020-01-26
20,False,2020-02-02
13,False,2020-02-09
13,False,2020-02-16
0,False,2020-02-23
13,False,2020-03-01
26,False,2020-03-08
13,False,2020-03-15
12,False,2020-03-22
0,False,2020-03-29
25,False,2020-04-05
0,False,2020-04-12
12,False,2020-04-19
0,False,2020-04-26
12,False,2020-05-03
12,False,2020-05-10
18,False,2020-05-17
12,False,2020-05-24
0,False,2020-05-31
12,False,2020-06-07
12,False,2020-06-14
13,False,2020-06-21
26,False,2020-06-28
13,False,2020-07-05
13,False,2020-07-12
13,False,2020-07-19
14,False,2020-07-26
0,False,2020-08-02
20,False,2020-08-09
14,False,2020-08-16
26,False,2020-08-23
100,True,2020-08-30
