how to overdose,isPartial,date
97,False,2019-09-08
49,False,2019-09-15
49,False,2019-09-22
73,False,2019-09-29
50,False,2019-10-06
73,False,2019-10-13
97,False,2019-10-20
49,False,2019-10-27
96,False,2019-11-03
93,False,2019-11-10
48,False,2019-11-17
50,False,2019-11-24
71,False,2019-12-01
48,False,2019-12-08
50,False,2019-12-15
72,False,2019-12-22
100,False,2019-12-29
70,False,2020-01-05
89,False,2020-01-12
47,False,2020-01-19
0,False,2020-01-26
90,False,2020-02-02
60,False,2020-02-09
43,False,2020-02-16
65,False,2020-02-23
64,False,2020-03-01
44,False,2020-03-08
65,False,2020-03-15
41,False,2020-03-22
41,False,2020-03-29
63,False,2020-04-05
81,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
40,False,2020-05-03
62,False,2020-05-10
40,False,2020-05-17
62,False,2020-05-24
55,False,2020-05-31
41,False,2020-06-07
84,False,2020-06-14
0,False,2020-06-21
44,False,2020-06-28
45,False,2020-07-05
46,False,2020-07-12
92,False,2020-07-19
46,False,2020-07-26
90,False,2020-08-02
91,False,2020-08-09
92,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
