suicide chat,isPartial,date
35,False,2019-09-01
55,False,2019-09-08
68,False,2019-09-15
55,False,2019-09-22
69,False,2019-09-29
49,False,2019-10-06
48,False,2019-10-13
34,False,2019-10-20
55,False,2019-10-27
95,False,2019-11-03
67,False,2019-11-10
74,False,2019-11-17
78,False,2019-11-24
66,False,2019-12-01
68,False,2019-12-08
62,False,2019-12-15
78,False,2019-12-22
72,False,2019-12-29
67,False,2020-01-05
89,False,2020-01-12
40,False,2020-01-19
58,False,2020-01-26
71,False,2020-02-02
45,False,2020-02-09
51,False,2020-02-16
37,False,2020-02-23
100,False,2020-03-01
43,False,2020-03-08
55,False,2020-03-15
36,False,2020-03-22
35,False,2020-03-29
59,False,2020-04-05
51,False,2020-04-12
28,False,2020-04-19
74,False,2020-04-26
46,False,2020-05-03
53,False,2020-05-10
24,False,2020-05-17
37,False,2020-05-24
23,False,2020-05-31
54,False,2020-06-07
93,False,2020-06-14
38,False,2020-06-21
64,False,2020-06-28
64,False,2020-07-05
52,False,2020-07-12
65,False,2020-07-19
26,False,2020-07-26
71,False,2020-08-02
64,False,2020-08-09
26,False,2020-08-16
87,True,2020-08-23
