baby blues,isPartial,date
49,False,2019-09-01
32,False,2019-09-08
0,False,2019-09-15
37,False,2019-09-22
25,False,2019-09-29
78,False,2019-10-06
25,False,2019-10-13
24,False,2019-10-20
74,False,2019-10-27
36,False,2019-11-03
48,False,2019-11-10
59,False,2019-11-17
0,False,2019-11-24
39,False,2019-12-01
24,False,2019-12-08
49,False,2019-12-15
26,False,2019-12-22
34,False,2019-12-29
35,False,2020-01-05
52,False,2020-01-12
31,False,2020-01-19
22,False,2020-01-26
23,False,2020-02-02
0,False,2020-02-09
44,False,2020-02-16
44,False,2020-02-23
22,False,2020-03-01
65,False,2020-03-08
21,False,2020-03-15
0,False,2020-03-22
30,False,2020-03-29
21,False,2020-04-05
34,False,2020-04-12
27,False,2020-04-19
61,False,2020-04-26
41,False,2020-05-03
41,False,2020-05-10
49,False,2020-05-17
0,False,2020-05-24
31,False,2020-05-31
52,False,2020-06-07
21,False,2020-06-14
32,False,2020-06-21
44,False,2020-06-28
34,False,2020-07-05
22,False,2020-07-12
57,False,2020-07-19
45,False,2020-07-26
43,False,2020-08-02
42,False,2020-08-09
31,False,2020-08-16
100,True,2020-08-23
