psychosis,isPartial,date
56,False,2019-09-08
38,False,2019-09-15
75,False,2019-09-22
76,False,2019-09-29
38,False,2019-10-06
40,False,2019-10-13
76,False,2019-10-20
75,False,2019-10-27
38,False,2019-11-03
58,False,2019-11-10
76,False,2019-11-17
0,False,2019-11-24
38,False,2019-12-01
0,False,2019-12-08
80,False,2019-12-15
0,False,2019-12-22
40,False,2019-12-29
76,False,2020-01-05
0,False,2020-01-12
78,False,2020-01-19
0,False,2020-01-26
37,False,2020-02-02
75,False,2020-02-09
39,False,2020-02-16
71,False,2020-02-23
53,False,2020-03-01
71,False,2020-03-08
33,False,2020-03-15
81,False,2020-03-22
0,False,2020-03-29
63,False,2020-04-05
61,False,2020-04-12
48,False,2020-04-19
61,False,2020-04-26
61,False,2020-05-03
64,False,2020-05-10
33,False,2020-05-17
33,False,2020-05-24
31,False,2020-05-31
32,False,2020-06-07
0,False,2020-06-14
34,False,2020-06-21
0,False,2020-06-28
33,False,2020-07-05
34,False,2020-07-12
0,False,2020-07-19
33,False,2020-07-26
0,False,2020-08-02
100,False,2020-08-09
33,False,2020-08-16
33,False,2020-08-23
0,True,2020-08-30
