delusion,isPartial,date
0,False,2019-08-25
28,False,2019-09-01
28,False,2019-09-08
28,False,2019-09-15
28,False,2019-09-22
46,False,2019-09-29
38,False,2019-10-06
28,False,2019-10-13
56,False,2019-10-20
28,False,2019-10-27
27,False,2019-11-03
27,False,2019-11-10
27,False,2019-11-17
29,False,2019-11-24
27,False,2019-12-01
0,False,2019-12-08
28,False,2019-12-15
31,False,2019-12-22
0,False,2019-12-29
27,False,2020-01-05
25,False,2020-01-12
0,False,2020-01-19
26,False,2020-01-26
51,False,2020-02-02
26,False,2020-02-09
38,False,2020-02-16
25,False,2020-02-23
100,False,2020-03-01
25,False,2020-03-08
25,False,2020-03-15
47,False,2020-03-22
47,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
23,False,2020-04-26
0,False,2020-05-03
47,False,2020-05-10
23,False,2020-05-17
47,False,2020-05-24
0,False,2020-05-31
23,False,2020-06-07
24,False,2020-06-14
0,False,2020-06-21
51,False,2020-06-28
26,False,2020-07-05
26,False,2020-07-12
26,False,2020-07-19
26,False,2020-07-26
39,False,2020-08-02
26,False,2020-08-09
46,True,2020-08-16
