psychotic,isPartial,date
74,False,2019-08-25
76,False,2019-09-01
85,False,2019-09-08
87,False,2019-09-15
80,False,2019-09-22
90,False,2019-09-29
92,False,2019-10-06
91,False,2019-10-13
98,False,2019-10-20
89,False,2019-10-27
99,False,2019-11-03
92,False,2019-11-10
89,False,2019-11-17
93,False,2019-11-24
81,False,2019-12-01
92,False,2019-12-08
77,False,2019-12-15
80,False,2019-12-22
88,False,2019-12-29
79,False,2020-01-05
77,False,2020-01-12
80,False,2020-01-19
88,False,2020-01-26
88,False,2020-02-02
86,False,2020-02-09
88,False,2020-02-16
84,False,2020-02-23
86,False,2020-03-01
79,False,2020-03-08
70,False,2020-03-15
71,False,2020-03-22
72,False,2020-03-29
85,False,2020-04-05
83,False,2020-04-12
89,False,2020-04-19
87,False,2020-04-26
86,False,2020-05-03
86,False,2020-05-10
73,False,2020-05-17
85,False,2020-05-24
77,False,2020-05-31
76,False,2020-06-07
85,False,2020-06-14
91,False,2020-06-21
78,False,2020-06-28
83,False,2020-07-05
91,False,2020-07-12
83,False,2020-07-19
79,False,2020-07-26
77,False,2020-08-02
100,False,2020-08-09
86,True,2020-08-16
