hallucinated,isPartial,date
0,False,2019-09-08
87,False,2019-09-15
29,False,2019-09-22
30,False,2019-09-29
59,False,2019-10-06
29,False,2019-10-13
29,False,2019-10-20
39,False,2019-10-27
29,False,2019-11-03
42,False,2019-11-10
72,False,2019-11-17
30,False,2019-11-24
28,False,2019-12-01
29,False,2019-12-08
0,False,2019-12-15
33,False,2019-12-22
45,False,2019-12-29
56,False,2020-01-05
0,False,2020-01-12
28,False,2020-01-19
28,False,2020-01-26
55,False,2020-02-02
37,False,2020-02-09
45,False,2020-02-16
27,False,2020-02-23
53,False,2020-03-01
0,False,2020-03-08
52,False,2020-03-15
38,False,2020-03-22
36,False,2020-03-29
100,False,2020-04-05
61,False,2020-04-12
72,False,2020-04-19
73,False,2020-04-26
36,False,2020-05-03
25,False,2020-05-10
50,False,2020-05-17
43,False,2020-05-24
50,False,2020-05-31
38,False,2020-06-07
26,False,2020-06-14
53,False,2020-06-21
54,False,2020-06-28
41,False,2020-07-05
27,False,2020-07-12
83,False,2020-07-19
28,False,2020-07-26
27,False,2020-08-02
0,False,2020-08-09
26,False,2020-08-16
26,False,2020-08-23
0,True,2020-08-30
