psychosis,isPartial,date
36,False,2019-08-25
69,False,2019-09-01
76,False,2019-09-08
79,False,2019-09-15
70,False,2019-09-22
79,False,2019-09-29
69,False,2019-10-06
90,False,2019-10-13
92,False,2019-10-20
54,False,2019-10-27
76,False,2019-11-03
85,False,2019-11-10
58,False,2019-11-17
67,False,2019-11-24
68,False,2019-12-01
70,False,2019-12-08
69,False,2019-12-15
60,False,2019-12-22
45,False,2019-12-29
48,False,2020-01-05
72,False,2020-01-12
83,False,2020-01-19
90,False,2020-01-26
85,False,2020-02-02
89,False,2020-02-09
92,False,2020-02-16
84,False,2020-02-23
87,False,2020-03-01
79,False,2020-03-08
72,False,2020-03-15
61,False,2020-03-22
58,False,2020-03-29
77,False,2020-04-05
77,False,2020-04-12
49,False,2020-04-19
85,False,2020-04-26
70,False,2020-05-03
74,False,2020-05-10
57,False,2020-05-17
59,False,2020-05-24
51,False,2020-05-31
73,False,2020-06-07
60,False,2020-06-14
90,False,2020-06-21
58,False,2020-06-28
88,False,2020-07-05
65,False,2020-07-12
100,False,2020-07-19
94,False,2020-07-26
66,False,2020-08-02
80,False,2020-08-09
76,True,2020-08-16
