psychotic,isPartial,date
52,False,2019-08-25
34,False,2019-09-01
70,False,2019-09-08
50,False,2019-09-15
51,False,2019-09-22
63,False,2019-09-29
74,False,2019-10-06
58,False,2019-10-13
72,False,2019-10-20
97,False,2019-10-27
64,False,2019-11-03
67,False,2019-11-10
73,False,2019-11-17
75,False,2019-11-24
63,False,2019-12-01
68,False,2019-12-08
42,False,2019-12-15
53,False,2019-12-22
71,False,2019-12-29
75,False,2020-01-05
62,False,2020-01-12
46,False,2020-01-19
31,False,2020-01-26
38,False,2020-02-02
100,False,2020-02-09
51,False,2020-02-16
60,False,2020-02-23
53,False,2020-03-01
72,False,2020-03-08
57,False,2020-03-15
33,False,2020-03-22
35,False,2020-03-29
35,False,2020-04-05
75,False,2020-04-12
87,False,2020-04-19
51,False,2020-04-26
57,False,2020-05-03
61,False,2020-05-10
58,False,2020-05-17
46,False,2020-05-24
74,False,2020-05-31
39,False,2020-06-07
64,False,2020-06-14
90,False,2020-06-21
56,False,2020-06-28
53,False,2020-07-05
74,False,2020-07-12
61,False,2020-07-19
90,False,2020-07-26
47,False,2020-08-02
36,False,2020-08-09
63,True,2020-08-16
