klonopin,isPartial,date
87,False,2019-08-11
85,False,2019-08-18
86,False,2019-08-25
77,False,2019-09-01
83,False,2019-09-08
93,False,2019-09-15
100,False,2019-09-22
80,False,2019-09-29
93,False,2019-10-06
80,False,2019-10-13
85,False,2019-10-20
85,False,2019-10-27
79,False,2019-11-03
82,False,2019-11-10
85,False,2019-11-17
77,False,2019-11-24
81,False,2019-12-01
80,False,2019-12-08
88,False,2019-12-15
71,False,2019-12-22
78,False,2019-12-29
84,False,2020-01-05
83,False,2020-01-12
85,False,2020-01-19
88,False,2020-01-26
79,False,2020-02-02
83,False,2020-02-09
82,False,2020-02-16
82,False,2020-02-23
81,False,2020-03-01
84,False,2020-03-08
69,False,2020-03-15
67,False,2020-03-22
67,False,2020-03-29
69,False,2020-04-05
71,False,2020-04-12
73,False,2020-04-19
74,False,2020-04-26
73,False,2020-05-03
72,False,2020-05-10
72,False,2020-05-17
67,False,2020-05-24
66,False,2020-05-31
75,False,2020-06-07
75,False,2020-06-14
77,False,2020-06-21
73,False,2020-06-28
76,False,2020-07-05
73,False,2020-07-12
71,False,2020-07-19
75,False,2020-07-26
75,True,2020-08-02
