how to deal with depression -economic -great -recession,isPartial,date
47,False,2019-01-06
46,False,2019-01-13
46,False,2019-01-20
0,False,2019-01-27
45,False,2019-02-03
45,False,2019-02-10
45,False,2019-02-17
0,False,2019-02-24
47,False,2019-03-03
47,False,2019-03-10
0,False,2019-03-17
0,False,2019-03-24
47,False,2019-03-31
48,False,2019-04-07
48,False,2019-04-14
48,False,2019-04-21
71,False,2019-04-28
0,False,2019-05-05
0,False,2019-05-12
50,False,2019-05-19
0,False,2019-05-26
49,False,2019-06-02
0,False,2019-06-09
50,False,2019-06-16
50,False,2019-06-23
51,False,2019-06-30
50,False,2019-07-07
50,False,2019-07-14
50,False,2019-07-21
100,False,2019-07-28
0,False,2019-08-04
0,False,2019-08-11
46,False,2019-08-18
45,False,2019-08-25
44,False,2019-09-01
0,False,2019-09-08
44,False,2019-09-15
44,False,2019-09-22
0,False,2019-09-29
46,False,2019-10-06
0,False,2019-10-13
44,False,2019-10-20
44,False,2019-10-27
0,False,2019-11-03
87,False,2019-11-10
0,False,2019-11-17
43,False,2019-11-24
42,False,2019-12-01
43,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
41,False,2020-01-19
41,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
40,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
36,False,2020-03-29
37,False,2020-04-05
37,False,2020-04-12
54,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
37,False,2020-05-10
38,False,2020-05-17
76,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
38,False,2020-06-14
0,False,2020-06-21
40,False,2020-06-28
0,False,2020-07-05
40,False,2020-07-12
41,False,2020-07-19
0,False,2020-07-26
39,False,2020-08-02
57,False,2020-08-09
56,False,2020-08-16
37,False,2020-08-23
37,False,2020-08-30
