dysphoric,isPartial,date
25,False,2019-08-25
32,False,2019-09-01
48,False,2019-09-08
0,False,2019-09-15
24,False,2019-09-22
100,False,2019-09-29
38,False,2019-10-06
49,False,2019-10-13
72,False,2019-10-20
0,False,2019-10-27
24,False,2019-11-03
0,False,2019-11-10
23,False,2019-11-17
0,False,2019-11-24
23,False,2019-12-01
24,False,2019-12-08
0,False,2019-12-15
52,False,2019-12-22
25,False,2019-12-29
23,False,2020-01-05
22,False,2020-01-12
0,False,2020-01-19
22,False,2020-01-26
44,False,2020-02-02
33,False,2020-02-09
22,False,2020-02-16
22,False,2020-02-23
21,False,2020-03-01
22,False,2020-03-08
42,False,2020-03-15
41,False,2020-03-22
20,False,2020-03-29
20,False,2020-04-05
40,False,2020-04-12
0,False,2020-04-19
20,False,2020-04-26
20,False,2020-05-03
41,False,2020-05-10
21,False,2020-05-17
32,False,2020-05-24
0,False,2020-05-31
31,False,2020-06-07
31,False,2020-06-14
32,False,2020-06-21
44,False,2020-06-28
23,False,2020-07-05
22,False,2020-07-12
22,False,2020-07-19
22,False,2020-07-26
0,False,2020-08-02
42,False,2020-08-09
0,True,2020-08-16
