manic depression,isPartial,date
35,False,2019-01-06
34,False,2019-01-13
70,False,2019-01-20
34,False,2019-01-27
34,False,2019-02-03
64,False,2019-02-10
48,False,2019-02-17
65,False,2019-02-24
0,False,2019-03-03
35,False,2019-03-10
89,False,2019-03-17
36,False,2019-03-24
0,False,2019-03-31
72,False,2019-04-07
37,False,2019-04-14
55,False,2019-04-21
0,False,2019-04-28
36,False,2019-05-05
72,False,2019-05-12
37,False,2019-05-19
72,False,2019-05-26
35,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
55,False,2019-06-23
38,False,2019-06-30
36,False,2019-07-07
55,False,2019-07-14
37,False,2019-07-21
37,False,2019-07-28
37,False,2019-08-04
73,False,2019-08-11
36,False,2019-08-18
0,False,2019-08-25
34,False,2019-09-01
0,False,2019-09-08
67,False,2019-09-15
33,False,2019-09-22
0,False,2019-09-29
34,False,2019-10-06
100,False,2019-10-13
0,False,2019-10-20
32,False,2019-10-27
0,False,2019-11-03
97,False,2019-11-10
32,False,2019-11-17
0,False,2019-11-24
63,False,2019-12-01
48,False,2019-12-08
32,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
63,False,2020-01-05
31,False,2020-01-12
63,False,2020-01-19
0,False,2020-01-26
30,False,2020-02-02
61,False,2020-02-09
30,False,2020-02-16
28,False,2020-02-23
58,False,2020-03-01
43,False,2020-03-08
29,False,2020-03-15
28,False,2020-03-22
27,False,2020-03-29
0,False,2020-04-05
26,False,2020-04-12
26,False,2020-04-19
26,False,2020-04-26
39,False,2020-05-03
27,False,2020-05-10
27,False,2020-05-17
27,False,2020-05-24
26,False,2020-05-31
0,False,2020-06-07
56,False,2020-06-14
58,False,2020-06-21
89,False,2020-06-28
29,False,2020-07-05
30,False,2020-07-12
0,False,2020-07-19
61,False,2020-07-26
61,False,2020-08-02
31,False,2020-08-09
31,False,2020-08-16
30,False,2020-08-23
29,False,2020-08-30
