how to help depression,isPartial,date
29,False,2019-01-06
29,False,2019-01-13
43,False,2019-01-20
57,False,2019-01-27
56,False,2019-02-03
28,False,2019-02-10
27,False,2019-02-17
0,False,2019-02-24
29,False,2019-03-03
29,False,2019-03-10
30,False,2019-03-17
29,False,2019-03-24
29,False,2019-03-31
30,False,2019-04-07
45,False,2019-04-14
45,False,2019-04-21
44,False,2019-04-28
0,False,2019-05-05
30,False,2019-05-12
63,False,2019-05-19
32,False,2019-05-26
46,False,2019-06-02
31,False,2019-06-09
64,False,2019-06-16
62,False,2019-06-23
63,False,2019-06-30
0,False,2019-07-07
0,False,2019-07-14
95,False,2019-07-21
47,False,2019-07-28
0,False,2019-08-04
0,False,2019-08-11
0,False,2019-08-18
28,False,2019-08-25
0,False,2019-09-01
54,False,2019-09-08
27,False,2019-09-15
0,False,2019-09-22
56,False,2019-09-29
29,False,2019-10-06
55,False,2019-10-13
27,False,2019-10-20
0,False,2019-10-27
27,False,2019-11-03
27,False,2019-11-10
0,False,2019-11-17
83,False,2019-11-24
53,False,2019-12-01
54,False,2019-12-08
28,False,2019-12-15
29,False,2019-12-22
28,False,2019-12-29
0,False,2020-01-05
37,False,2020-01-12
39,False,2020-01-19
51,False,2020-01-26
25,False,2020-02-02
38,False,2020-02-09
25,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
61,False,2020-03-08
47,False,2020-03-15
0,False,2020-03-22
22,False,2020-03-29
69,False,2020-04-05
34,False,2020-04-12
22,False,2020-04-19
23,False,2020-04-26
23,False,2020-05-03
23,False,2020-05-10
59,False,2020-05-17
24,False,2020-05-24
23,False,2020-05-31
23,False,2020-06-07
47,False,2020-06-14
0,False,2020-06-21
25,False,2020-06-28
25,False,2020-07-05
0,False,2020-07-12
26,False,2020-07-19
100,False,2020-07-26
0,False,2020-08-02
24,False,2020-08-09
23,False,2020-08-16
46,False,2020-08-23
35,False,2020-08-30
