how to deal with depression -economic -great -recession,isPartial,date
94,False,2019-01-06
31,False,2019-01-13
46,False,2019-01-20
63,False,2019-01-27
41,False,2019-02-03
51,False,2019-02-10
0,False,2019-02-17
49,False,2019-02-24
60,False,2019-03-03
59,False,2019-03-10
51,False,2019-03-17
41,False,2019-03-24
71,False,2019-03-31
64,False,2019-04-07
65,False,2019-04-14
33,False,2019-04-21
33,False,2019-04-28
34,False,2019-05-05
69,False,2019-05-12
52,False,2019-05-19
52,False,2019-05-26
33,False,2019-06-02
68,False,2019-06-09
100,False,2019-06-16
67,False,2019-06-23
34,False,2019-06-30
33,False,2019-07-07
32,False,2019-07-14
66,False,2019-07-21
33,False,2019-07-28
33,False,2019-08-04
64,False,2019-08-11
32,False,2019-08-18
50,False,2019-08-25
45,False,2019-09-01
61,False,2019-09-08
31,False,2019-09-15
62,False,2019-09-22
41,False,2019-09-29
30,False,2019-10-06
60,False,2019-10-13
60,False,2019-10-20
30,False,2019-10-27
39,False,2019-11-03
29,False,2019-11-10
30,False,2019-11-17
0,False,2019-11-24
29,False,2019-12-01
75,False,2019-12-08
39,False,2019-12-15
46,False,2019-12-22
59,False,2019-12-29
47,False,2020-01-05
81,False,2020-01-12
28,False,2020-01-19
27,False,2020-01-26
54,False,2020-02-02
36,False,2020-02-09
79,False,2020-02-16
52,False,2020-02-23
35,False,2020-03-01
39,False,2020-03-08
0,False,2020-03-15
26,False,2020-03-22
25,False,2020-03-29
25,False,2020-04-05
24,False,2020-04-12
49,False,2020-04-19
37,False,2020-04-26
75,False,2020-05-03
38,False,2020-05-10
38,False,2020-05-17
0,False,2020-05-24
63,False,2020-05-31
26,False,2020-06-07
66,False,2020-06-14
27,False,2020-06-21
54,False,2020-06-28
55,False,2020-07-05
56,False,2020-07-12
56,False,2020-07-19
42,False,2020-07-26
28,False,2020-08-02
28,False,2020-08-09
28,False,2020-08-16
27,False,2020-08-23
53,False,2020-08-30
