manic depression,isPartial,date
35,False,2019-01-06
34,False,2019-01-13
34,False,2019-01-20
57,False,2019-01-27
67,False,2019-02-03
0,False,2019-02-10
33,False,2019-02-17
0,False,2019-02-24
0,False,2019-03-03
0,False,2019-03-10
35,False,2019-03-17
0,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
36,False,2019-04-14
36,False,2019-04-21
35,False,2019-04-28
35,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
38,False,2019-05-26
76,False,2019-06-02
38,False,2019-06-09
38,False,2019-06-16
0,False,2019-06-23
40,False,2019-06-30
75,False,2019-07-07
0,False,2019-07-14
0,False,2019-07-21
58,False,2019-07-28
39,False,2019-08-04
0,False,2019-08-11
69,False,2019-08-18
0,False,2019-08-25
100,False,2019-09-01
0,False,2019-09-08
0,False,2019-09-15
33,False,2019-09-22
33,False,2019-09-29
34,False,2019-10-06
34,False,2019-10-13
0,False,2019-10-20
50,False,2019-10-27
0,False,2019-11-03
33,False,2019-11-10
32,False,2019-11-17
0,False,2019-11-24
64,False,2019-12-01
33,False,2019-12-08
34,False,2019-12-15
38,False,2019-12-22
0,False,2019-12-29
32,False,2020-01-05
0,False,2020-01-12
31,False,2020-01-19
31,False,2020-01-26
31,False,2020-02-02
0,False,2020-02-09
31,False,2020-02-16
50,False,2020-02-23
30,False,2020-03-01
0,False,2020-03-08
31,False,2020-03-15
29,False,2020-03-22
28,False,2020-03-29
28,False,2020-04-05
27,False,2020-04-12
27,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
59,False,2020-05-17
31,False,2020-05-24
0,False,2020-05-31
30,False,2020-06-07
31,False,2020-06-14
0,False,2020-06-21
32,False,2020-06-28
32,False,2020-07-05
64,False,2020-07-12
33,False,2020-07-19
33,False,2020-07-26
33,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
32,False,2020-08-23
46,False,2020-08-30
