how to help depression,isPartial,date
58,False,2019-01-06
36,False,2019-01-13
21,False,2019-01-20
50,False,2019-01-27
57,False,2019-02-03
56,False,2019-02-10
42,False,2019-02-17
41,False,2019-02-24
41,False,2019-03-03
41,False,2019-03-10
84,False,2019-03-17
63,False,2019-03-24
42,False,2019-03-31
37,False,2019-04-07
37,False,2019-04-14
68,False,2019-04-21
69,False,2019-04-28
62,False,2019-05-05
35,False,2019-05-12
24,False,2019-05-19
32,False,2019-05-26
69,False,2019-06-02
54,False,2019-06-09
35,False,2019-06-16
39,False,2019-06-23
23,False,2019-06-30
22,False,2019-07-07
52,False,2019-07-14
34,False,2019-07-21
46,False,2019-07-28
23,False,2019-08-04
22,False,2019-08-11
44,False,2019-08-18
34,False,2019-08-25
20,False,2019-09-01
49,False,2019-09-08
84,False,2019-09-15
32,False,2019-09-22
77,False,2019-09-29
42,False,2019-10-06
31,False,2019-10-13
41,False,2019-10-20
52,False,2019-10-27
67,False,2019-11-03
47,False,2019-11-10
21,False,2019-11-17
49,False,2019-11-24
100,False,2019-12-01
34,False,2019-12-08
27,False,2019-12-15
42,False,2019-12-22
40,False,2019-12-29
58,False,2020-01-05
83,False,2020-01-12
38,False,2020-01-19
46,False,2020-01-26
25,False,2020-02-02
50,False,2020-02-09
36,False,2020-02-16
66,False,2020-02-23
48,False,2020-03-01
18,False,2020-03-08
27,False,2020-03-15
18,False,2020-03-22
29,False,2020-03-29
63,False,2020-04-05
42,False,2020-04-12
51,False,2020-04-19
52,False,2020-04-26
46,False,2020-05-03
52,False,2020-05-10
52,False,2020-05-17
53,False,2020-05-24
41,False,2020-05-31
35,False,2020-06-07
42,False,2020-06-14
43,False,2020-06-21
19,False,2020-06-28
57,False,2020-07-05
39,False,2020-07-12
29,False,2020-07-19
29,False,2020-07-26
32,False,2020-08-02
39,False,2020-08-09
26,False,2020-08-16
28,False,2020-08-23
31,False,2020-08-30
