depressed,isPartial,date
92,False,2019-01-06
87,False,2019-01-13
64,False,2019-01-20
45,False,2019-01-27
51,False,2019-02-03
97,False,2019-02-10
95,False,2019-02-17
59,False,2019-02-24
65,False,2019-03-03
46,False,2019-03-10
76,False,2019-03-17
65,False,2019-03-24
72,False,2019-03-31
77,False,2019-04-07
56,False,2019-04-14
90,False,2019-04-21
61,False,2019-04-28
73,False,2019-05-05
65,False,2019-05-12
70,False,2019-05-19
88,False,2019-05-26
53,False,2019-06-02
75,False,2019-06-09
55,False,2019-06-16
26,False,2019-06-23
69,False,2019-06-30
69,False,2019-07-07
52,False,2019-07-14
56,False,2019-07-21
75,False,2019-07-28
60,False,2019-08-04
85,False,2019-08-11
82,False,2019-08-18
65,False,2019-08-25
62,False,2019-09-01
41,False,2019-09-08
58,False,2019-09-15
54,False,2019-09-22
51,False,2019-09-29
68,False,2019-10-06
61,False,2019-10-13
100,False,2019-10-20
52,False,2019-10-27
76,False,2019-11-03
75,False,2019-11-10
79,False,2019-11-17
54,False,2019-11-24
76,False,2019-12-01
78,False,2019-12-08
56,False,2019-12-15
26,False,2019-12-22
41,False,2019-12-29
64,False,2020-01-05
84,False,2020-01-12
61,False,2020-01-19
54,False,2020-01-26
77,False,2020-02-02
74,False,2020-02-09
61,False,2020-02-16
75,False,2020-02-23
77,False,2020-03-01
44,False,2020-03-08
56,False,2020-03-15
65,False,2020-03-22
72,False,2020-03-29
74,False,2020-04-05
69,False,2020-04-12
61,False,2020-04-19
64,False,2020-04-26
79,False,2020-05-03
71,False,2020-05-10
49,False,2020-05-17
50,False,2020-05-24
51,False,2020-05-31
58,False,2020-06-07
59,False,2020-06-14
76,False,2020-06-21
45,False,2020-06-28
56,False,2020-07-05
54,False,2020-07-12
75,False,2020-07-19
72,False,2020-07-26
56,False,2020-08-02
65,False,2020-08-09
57,False,2020-08-16
73,False,2020-08-23
74,False,2020-08-30
