manic depression,isPartial,date
34,False,2019-01-06
20,False,2019-01-13
46,False,2019-01-20
40,False,2019-01-27
66,False,2019-02-03
49,False,2019-02-10
39,False,2019-02-17
89,False,2019-02-24
67,False,2019-03-03
95,False,2019-03-10
52,False,2019-03-17
49,False,2019-03-24
52,False,2019-03-31
34,False,2019-04-07
69,False,2019-04-14
85,False,2019-04-21
50,False,2019-04-28
54,False,2019-05-05
59,False,2019-05-12
44,False,2019-05-19
37,False,2019-05-26
22,False,2019-06-02
43,False,2019-06-09
58,False,2019-06-16
58,False,2019-06-23
33,False,2019-06-30
63,False,2019-07-07
76,False,2019-07-14
32,False,2019-07-21
71,False,2019-07-28
56,False,2019-08-04
28,False,2019-08-11
48,False,2019-08-18
39,False,2019-08-25
32,False,2019-09-01
33,False,2019-09-08
39,False,2019-09-15
100,False,2019-09-22
33,False,2019-09-29
46,False,2019-10-06
84,False,2019-10-13
51,False,2019-10-20
58,False,2019-10-27
50,False,2019-11-03
57,False,2019-11-10
29,False,2019-11-17
46,False,2019-11-24
56,False,2019-12-01
45,False,2019-12-08
38,False,2019-12-15
46,False,2019-12-22
28,False,2019-12-29
24,False,2020-01-05
69,False,2020-01-12
54,False,2020-01-19
46,False,2020-01-26
64,False,2020-02-02
58,False,2020-02-09
40,False,2020-02-16
56,False,2020-02-23
62,False,2020-03-01
44,False,2020-03-08
68,False,2020-03-15
61,False,2020-03-22
64,False,2020-03-29
21,False,2020-04-05
79,False,2020-04-12
47,False,2020-04-19
59,False,2020-04-26
53,False,2020-05-03
49,False,2020-05-10
43,False,2020-05-17
44,False,2020-05-24
43,False,2020-05-31
50,False,2020-06-07
34,False,2020-06-14
58,False,2020-06-21
29,False,2020-06-28
42,False,2020-07-05
30,False,2020-07-12
72,False,2020-07-19
36,False,2020-07-26
30,False,2020-08-02
30,False,2020-08-09
55,False,2020-08-16
18,False,2020-08-23
52,False,2020-08-30
