what is depression -recession -great -economic,isPartial,date
49,False,2019-01-06
84,False,2019-01-13
52,False,2019-01-20
32,False,2019-01-27
37,False,2019-02-03
50,False,2019-02-10
25,False,2019-02-17
99,False,2019-02-24
29,False,2019-03-03
46,False,2019-03-10
30,False,2019-03-17
32,False,2019-03-24
59,False,2019-03-31
53,False,2019-04-07
27,False,2019-04-14
80,False,2019-04-21
73,False,2019-04-28
47,False,2019-05-05
51,False,2019-05-12
42,False,2019-05-19
43,False,2019-05-26
83,False,2019-06-02
41,False,2019-06-09
31,False,2019-06-16
21,False,2019-06-23
21,False,2019-06-30
21,False,2019-07-07
21,False,2019-07-14
74,False,2019-07-21
42,False,2019-07-28
47,False,2019-08-04
59,False,2019-08-11
32,False,2019-08-18
50,False,2019-08-25
46,False,2019-09-01
61,False,2019-09-08
85,False,2019-09-15
46,False,2019-09-22
87,False,2019-09-29
71,False,2019-10-06
100,False,2019-10-13
24,False,2019-10-20
62,False,2019-10-27
84,False,2019-11-03
48,False,2019-11-10
54,False,2019-11-17
37,False,2019-11-24
47,False,2019-12-01
31,False,2019-12-08
44,False,2019-12-15
30,False,2019-12-22
44,False,2019-12-29
30,False,2020-01-05
62,False,2020-01-12
63,False,2020-01-19
34,False,2020-01-26
23,False,2020-02-02
68,False,2020-02-09
39,False,2020-02-16
44,False,2020-02-23
60,False,2020-03-01
49,False,2020-03-08
42,False,2020-03-15
42,False,2020-03-22
50,False,2020-03-29
72,False,2020-04-05
23,False,2020-04-12
50,False,2020-04-19
66,False,2020-04-26
51,False,2020-05-03
31,False,2020-05-10
26,False,2020-05-17
75,False,2020-05-24
46,False,2020-05-31
52,False,2020-06-07
31,False,2020-06-14
27,False,2020-06-21
28,False,2020-06-28
42,False,2020-07-05
23,False,2020-07-12
52,False,2020-07-19
56,False,2020-07-26
48,False,2020-08-02
87,False,2020-08-09
52,False,2020-08-16
31,False,2020-08-23
57,False,2020-08-30
