Category: All categories

Day,Zoloft: (United States)
2019-09-12,83
2019-09-13,77
2019-09-14,73
2019-09-15,64
2019-09-16,73
2019-09-17,96
2019-09-18,88
2019-09-19,91
2019-09-20,90
2019-09-21,75
2019-09-22,66
2019-09-23,72
2019-09-24,77
2019-09-25,85
2019-09-26,87
2019-09-27,73
2019-09-28,79
2019-09-29,59
2019-09-30,83
2019-10-01,100
2019-10-02,88
2019-10-03,88
2019-10-04,69
2019-10-05,64
2019-10-06,62
2019-10-07,80
2019-10-08,87
2019-10-09,86
2019-10-10,85
2019-10-11,81
2019-10-12,71
2019-10-13,72
2019-10-14,73
2019-10-15,79
2019-10-16,87
2019-10-17,90
2019-10-18,77
2019-10-19,61
2019-10-20,59
2019-10-21,74
2019-10-22,87
2019-10-23,88
2019-10-24,81
2019-10-25,82
2019-10-26,76
2019-10-27,59
2019-10-28,76
2019-10-29,90
2019-10-30,81
2019-10-31,85
2019-11-01,85
2019-11-02,70
2019-11-03,67
2019-11-04,80
2019-11-05,90
2019-11-06,83
2019-11-07,77
2019-11-08,79
2019-11-09,65
2019-11-10,54
2019-11-11,65
2019-11-12,82
2019-11-13,84
2019-11-14,86
2019-11-15,83
2019-11-16,67
2019-11-17,57
2019-11-18,75
2019-11-19,84
2019-11-20,88
2019-11-21,98
2019-11-22,97
2019-11-23,63
2019-11-24,76
2019-11-25,90
2019-11-26,98
2019-11-27,82
2019-11-28,62
2019-11-29,69
2019-11-30,56
2019-12-01,53
2019-12-02,73
2019-12-03,63
2019-12-04,75
2019-12-05,75
2019-12-06,67
2019-12-07,66
2019-12-08,55
2019-12-09,73
2019-12-10,68
2019-12-11,72
2019-12-12,82
2019-12-13,80
2019-12-14,68
2019-12-15,66
2019-12-16,76
2019-12-17,83
2019-12-18,78
2019-12-19,81
2019-12-20,83
2019-12-21,64
2019-12-22,62
2019-12-23,68
2019-12-24,53
2019-12-25,48
2019-12-26,66
2019-12-27,64
2019-12-28,61
2019-12-29,67
2019-12-30,81
2019-12-31,79
2020-01-01,58
2020-01-02,83
2020-01-03,74
2020-01-04,67
2020-01-05,68
2020-01-06,72
2020-01-07,78
2020-01-08,91
2020-01-09,87
2020-01-10,74
2020-01-11,57
2020-01-12,58
2020-01-13,79
2020-01-14,77
2020-01-15,84
2020-01-16,67
2020-01-17,81
2020-01-18,65
2020-01-19,57
2020-01-20,65
2020-01-21,67
2020-01-22,86
2020-01-23,81
2020-01-24,69
2020-01-25,71
2020-01-26,58
2020-01-27,81
2020-01-28,63
2020-01-29,90
2020-01-30,90
2020-01-31,87
2020-02-01,70
2020-02-02,62
2020-02-03,77
2020-02-04,73
2020-02-05,88
2020-02-06,81
2020-02-07,82
2020-02-08,64
2020-02-09,62
2020-02-10,77
2020-02-11,80
2020-02-12,87
2020-02-13,90
2020-02-14,88
2020-02-15,65
2020-02-16,67
2020-02-17,84
2020-02-18,82
2020-02-19,95
2020-02-20,97
2020-02-21,96
2020-02-22,73
2020-02-23,65
2020-02-24,71
2020-02-25,89
2020-02-26,80
2020-02-27,79
2020-02-28,79
2020-02-29,79
2020-03-01,63
2020-03-02,73
2020-03-03,69
2020-03-04,81
2020-03-05,86
2020-03-06,76
2020-03-07,59
2020-03-08,53
2020-03-09,62
2020-03-10,79
2020-03-11,83
2020-03-12,64
2020-03-13,57
2020-03-14,64
2020-03-15,55
2020-03-16,51
2020-03-17,57
2020-03-18,68
2020-03-19,60
2020-03-20,63
2020-03-21,54
2020-03-22,45
2020-03-23,53
2020-03-24,62
2020-03-25,61
2020-03-26,55
2020-03-27,52
2020-03-28,54
2020-03-29,40
2020-03-30,42
2020-03-31,54
2020-04-01,59
2020-04-02,59
2020-04-03,55
2020-04-04,53
2020-04-05,56
2020-04-06,55
2020-04-07,57
2020-04-08,64
2020-04-09,55
2020-04-10,52
2020-04-11,58
2020-04-12,51
2020-04-13,65
2020-04-14,55
2020-04-15,60
2020-04-16,64
2020-04-17,50
2020-04-18,53
2020-04-19,51
2020-04-20,62
2020-04-21,65
2020-04-22,65
2020-04-23,53
2020-04-24,59
2020-04-25,65
2020-04-26,53
2020-04-27,57
2020-04-28,67
2020-04-29,73
2020-04-30,67
2020-05-01,65
2020-05-02,66
2020-05-03,62
2020-05-04,60
2020-05-05,63
2020-05-06,71
2020-05-07,71
2020-05-08,66
