Category: All categories

Day,Antidepressant: (United States)
2019-09-12,93
2019-09-13,69
2019-09-14,71
2019-09-15,79
2019-09-16,91
2019-09-17,84
2019-09-18,87
2019-09-19,81
2019-09-20,79
2019-09-21,70
2019-09-22,71
2019-09-23,92
2019-09-24,84
2019-09-25,89
2019-09-26,82
2019-09-27,70
2019-09-28,73
2019-09-29,59
2019-09-30,96
2019-10-01,70
2019-10-02,89
2019-10-03,92
2019-10-04,64
2019-10-05,75
2019-10-06,62
2019-10-07,70
2019-10-08,96
2019-10-09,93
2019-10-10,79
2019-10-11,72
2019-10-12,86
2019-10-13,67
2019-10-14,84
2019-10-15,88
2019-10-16,89
2019-10-17,88
2019-10-18,75
2019-10-19,71
2019-10-20,67
2019-10-21,85
2019-10-22,82
2019-10-23,91
2019-10-24,94
2019-10-25,80
2019-10-26,63
2019-10-27,65
2019-10-28,97
2019-10-29,91
2019-10-30,87
2019-10-31,83
2019-11-01,76
2019-11-02,87
2019-11-03,56
2019-11-04,81
2019-11-05,86
2019-11-06,95
2019-11-07,90
2019-11-08,71
2019-11-09,66
2019-11-10,69
2019-11-11,85
2019-11-12,83
2019-11-13,84
2019-11-14,79
2019-11-15,74
2019-11-16,76
2019-11-17,73
2019-11-18,100
2019-11-19,93
2019-11-20,93
2019-11-21,95
2019-11-22,90
2019-11-23,76
2019-11-24,86
2019-11-25,85
2019-11-26,83
2019-11-27,77
2019-11-28,51
2019-11-29,72
2019-11-30,64
2019-12-01,61
2019-12-02,78
2019-12-03,78
2019-12-04,82
2019-12-05,93
2019-12-06,69
2019-12-07,62
2019-12-08,62
2019-12-09,85
2019-12-10,94
2019-12-11,93
2019-12-12,78
2019-12-13,80
2019-12-14,62
2019-12-15,57
2019-12-16,86
2019-12-17,82
2019-12-18,77
2019-12-19,65
2019-12-20,55
2019-12-21,65
2019-12-22,69
2019-12-23,73
2019-12-24,58
2019-12-25,44
2019-12-26,63
2019-12-27,66
2019-12-28,64
2019-12-29,60
2019-12-30,83
2019-12-31,68
2020-01-01,55
2020-01-02,74
2020-01-03,82
2020-01-04,73
2020-01-05,73
2020-01-06,84
2020-01-07,79
2020-01-08,79
2020-01-09,89
2020-01-10,69
2020-01-11,76
2020-01-12,75
2020-01-13,87
2020-01-14,78
2020-01-15,92
2020-01-16,80
2020-01-17,89
2020-01-18,73
2020-01-19,68
2020-01-20,75
2020-01-21,76
2020-01-22,80
2020-01-23,78
2020-01-24,69
2020-01-25,66
2020-01-26,60
2020-01-27,81
2020-01-28,77
2020-01-29,93
2020-01-30,79
2020-01-31,75
2020-02-01,76
2020-02-02,68
2020-02-03,74
2020-02-04,95
2020-02-05,90
2020-02-06,89
2020-02-07,65
2020-02-08,86
2020-02-09,81
2020-02-10,92
2020-02-11,77
2020-02-12,93
2020-02-13,85
2020-02-14,63
2020-02-15,57
2020-02-16,86
2020-02-17,100
2020-02-18,95
2020-02-19,95
2020-02-20,83
2020-02-21,79
2020-02-22,70
2020-02-23,77
2020-02-24,85
2020-02-25,94
2020-02-26,94
2020-02-27,85
2020-02-28,77
2020-02-29,74
2020-03-01,59
2020-03-02,74
2020-03-03,79
2020-03-04,84
2020-03-05,86
2020-03-06,88
2020-03-07,67
2020-03-08,66
2020-03-09,82
2020-03-10,91
2020-03-11,76
2020-03-12,66
2020-03-13,50
2020-03-14,51
2020-03-15,58
2020-03-16,54
2020-03-17,51
2020-03-18,53
2020-03-19,55
2020-03-20,48
2020-03-21,49
2020-03-22,62
2020-03-23,53
2020-03-24,61
2020-03-25,51
2020-03-26,55
2020-03-27,44
2020-03-28,44
2020-03-29,54
2020-03-30,59
2020-03-31,58
2020-04-01,62
2020-04-02,58
2020-04-03,59
2020-04-04,54
2020-04-05,62
2020-04-06,63
2020-04-07,57
2020-04-08,51
2020-04-09,73
2020-04-10,57
2020-04-11,59
2020-04-12,48
2020-04-13,66
2020-04-14,67
2020-04-15,73
2020-04-16,60
2020-04-17,52
2020-04-18,57
2020-04-19,65
2020-04-20,63
2020-04-21,60
2020-04-22,62
2020-04-23,65
2020-04-24,60
2020-04-25,62
2020-04-26,53
2020-04-27,79
2020-04-28,73
2020-04-29,82
2020-04-30,82
2020-05-01,76
2020-05-02,74
2020-05-03,71
2020-05-04,83
2020-05-05,70
2020-05-06,74
2020-05-07,71
2020-05-08,52
