Category: All categories

Day,sensitive: (United States)
2019-09-12,83
2019-09-13,76
2019-09-14,68
2019-09-15,66
2019-09-16,67
2019-09-17,79
2019-09-18,77
2019-09-19,74
2019-09-20,77
2019-09-21,77
2019-09-22,73
2019-09-23,83
2019-09-24,85
2019-09-25,75
2019-09-26,67
2019-09-27,81
2019-09-28,90
2019-09-29,71
2019-09-30,81
2019-10-01,79
2019-10-02,75
2019-10-03,77
2019-10-04,73
2019-10-05,82
2019-10-06,86
2019-10-07,93
2019-10-08,86
2019-10-09,80
2019-10-10,90
2019-10-11,77
2019-10-12,77
2019-10-13,75
2019-10-14,84
2019-10-15,77
2019-10-16,79
2019-10-17,76
2019-10-18,72
2019-10-19,72
2019-10-20,81
2019-10-21,81
2019-10-22,81
2019-10-23,79
2019-10-24,73
2019-10-25,77
2019-10-26,75
2019-10-27,81
2019-10-28,75
2019-10-29,88
2019-10-30,88
2019-10-31,70
2019-11-01,80
2019-11-02,70
2019-11-03,80
2019-11-04,83
2019-11-05,90
2019-11-06,84
2019-11-07,83
2019-11-08,86
2019-11-09,78
2019-11-10,75
2019-11-11,81
2019-11-12,80
2019-11-13,80
2019-11-14,92
2019-11-15,86
2019-11-16,76
2019-11-17,86
2019-11-18,90
2019-11-19,90
2019-11-20,86
2019-11-21,82
2019-11-22,86
2019-11-23,82
2019-11-24,75
2019-11-25,88
2019-11-26,83
2019-11-27,75
2019-11-28,60
2019-11-29,71
2019-11-30,76
2019-12-01,75
2019-12-02,79
2019-12-03,81
2019-12-04,86
2019-12-05,83
2019-12-06,84
2019-12-07,75
2019-12-08,71
2019-12-09,77
2019-12-10,70
2019-12-11,79
2019-12-12,68
2019-12-13,77
2019-12-14,84
2019-12-15,80
2019-12-16,77
2019-12-17,75
2019-12-18,70
2019-12-19,71
2019-12-20,73
2019-12-21,70
2019-12-22,78
2019-12-23,86
2019-12-24,71
2019-12-25,66
2019-12-26,85
2019-12-27,91
2019-12-28,81
2019-12-29,80
2019-12-30,77
2019-12-31,81
2020-01-01,71
2020-01-02,82
2020-01-03,84
2020-01-04,80
2020-01-05,78
2020-01-06,80
2020-01-07,88
2020-01-08,82
2020-01-09,84
2020-01-10,80
2020-01-11,80
2020-01-12,72
2020-01-13,79
2020-01-14,89
2020-01-15,89
2020-01-16,86
2020-01-17,71
2020-01-18,79
2020-01-19,82
2020-01-20,86
2020-01-21,87
2020-01-22,83
2020-01-23,92
2020-01-24,93
2020-01-25,77
2020-01-26,84
2020-01-27,87
2020-01-28,85
2020-01-29,80
2020-01-30,78
2020-01-31,93
2020-02-01,87
2020-02-02,90
2020-02-03,76
2020-02-04,78
2020-02-05,78
2020-02-06,79
2020-02-07,87
2020-02-08,85
2020-02-09,92
2020-02-10,86
2020-02-11,88
2020-02-12,85
2020-02-13,84
2020-02-14,84
2020-02-15,86
2020-02-16,88
2020-02-17,95
2020-02-18,80
2020-02-19,95
2020-02-20,92
2020-02-21,90
2020-02-22,87
2020-02-23,92
2020-02-24,89
2020-02-25,95
2020-02-26,84
2020-02-27,86
2020-02-28,79
2020-02-29,83
2020-03-01,80
2020-03-02,87
2020-03-03,87
2020-03-04,86
2020-03-05,83
2020-03-06,87
2020-03-07,80
2020-03-08,78
2020-03-09,83
2020-03-10,83
2020-03-11,86
2020-03-12,89
2020-03-13,88
2020-03-14,91
2020-03-15,86
2020-03-16,78
2020-03-17,80
2020-03-18,79
2020-03-19,74
2020-03-20,74
2020-03-21,86
2020-03-22,79
2020-03-23,77
2020-03-24,79
2020-03-25,75
2020-03-26,77
2020-03-27,74
2020-03-28,76
2020-03-29,80
2020-03-30,76
2020-03-31,86
2020-04-01,76
2020-04-02,85
2020-04-03,82
2020-04-04,88
2020-04-05,80
2020-04-06,88
2020-04-07,89
2020-04-08,84
2020-04-09,82
2020-04-10,96
2020-04-11,95
2020-04-12,79
2020-04-13,92
2020-04-14,81
2020-04-15,86
2020-04-16,89
2020-04-17,93
2020-04-18,97
2020-04-19,100
2020-04-20,87
2020-04-21,90
2020-04-22,94
2020-04-23,93
2020-04-24,91
2020-04-25,80
2020-04-26,98
2020-04-27,83
2020-04-28,99
2020-04-29,91
2020-04-30,89
2020-05-01,95
2020-05-02,89
2020-05-03,99
2020-05-04,97
2020-05-05,88
2020-05-06,95
2020-05-07,92
2020-05-08,94
