Category: All categories

Day,sleep disorder: (United States)
2019-09-12,63
2019-09-13,50
2019-09-14,48
2019-09-15,23
2019-09-16,45
2019-09-17,48
2019-09-18,65
2019-09-19,50
2019-09-20,70
2019-09-21,55
2019-09-22,27
2019-09-23,45
2019-09-24,59
2019-09-25,66
2019-09-26,57
2019-09-27,51
2019-09-28,20
2019-09-29,51
2019-09-30,60
2019-10-01,82
2019-10-02,65
2019-10-03,50
2019-10-04,51
2019-10-05,28
2019-10-06,20
2019-10-07,83
2019-10-08,50
2019-10-09,54
2019-10-10,80
2019-10-11,47
2019-10-12,24
2019-10-13,36
2019-10-14,57
2019-10-15,83
2019-10-16,40
2019-10-17,37
2019-10-18,65
2019-10-19,36
2019-10-20,61
2019-10-21,80
2019-10-22,79
2019-10-23,72
2019-10-24,59
2019-10-25,61
2019-10-26,50
2019-10-27,31
2019-10-28,83
2019-10-29,82
2019-10-30,52
2019-10-31,63
2019-11-01,59
2019-11-02,44
2019-11-03,27
2019-11-04,63
2019-11-05,49
2019-11-06,77
2019-11-07,91
2019-11-08,46
2019-11-09,31
2019-11-10,23
2019-11-11,40
2019-11-12,66
2019-11-13,58
2019-11-14,77
2019-11-15,42
2019-11-16,38
2019-11-17,26
2019-11-18,64
2019-11-19,78
2019-11-20,76
2019-11-21,69
2019-11-22,57
2019-11-23,27
2019-11-24,42
2019-11-25,53
2019-11-26,34
2019-11-27,32
2019-11-28,45
2019-11-29,32
2019-11-30,44
2019-12-01,32
2019-12-02,70
2019-12-03,70
2019-12-04,75
2019-12-05,75
2019-12-06,53
2019-12-07,38
2019-12-08,49
2019-12-09,56
2019-12-10,60
2019-12-11,91
2019-12-12,78
2019-12-13,49
2019-12-14,42
2019-12-15,31
2019-12-16,49
2019-12-17,72
2019-12-18,63
2019-12-19,54
2019-12-20,56
2019-12-21,40
2019-12-22,28
2019-12-23,33
2019-12-24,50
2019-12-25,27
2019-12-26,27
2019-12-27,36
2019-12-28,31
2019-12-29,49
2019-12-30,56
2019-12-31,52
2020-01-01,43
2020-01-02,58
2020-01-03,37
2020-01-04,44
2020-01-05,59
2020-01-06,49
2020-01-07,66
2020-01-08,52
2020-01-09,75
2020-01-10,61
2020-01-11,44
2020-01-12,29
2020-01-13,86
2020-01-14,59
2020-01-15,52
2020-01-16,41
2020-01-17,49
2020-01-18,30
2020-01-19,22
2020-01-20,40
2020-01-21,93
2020-01-22,67
2020-01-23,74
2020-01-24,67
2020-01-25,52
2020-01-26,34
2020-01-27,72
2020-01-28,88
2020-01-29,54
2020-01-30,45
2020-01-31,58
2020-02-01,45
2020-02-02,52
2020-02-03,52
2020-02-04,60
2020-02-05,72
2020-02-06,100
2020-02-07,55
2020-02-08,18
2020-02-09,56
2020-02-10,61
2020-02-11,73
2020-02-12,59
2020-02-13,60
2020-02-14,59
2020-02-15,29
2020-02-16,48
2020-02-17,63
2020-02-18,39
2020-02-19,80
2020-02-20,67
2020-02-21,56
2020-02-22,25
2020-02-23,29
2020-02-24,73
2020-02-25,84
2020-02-26,65
2020-02-27,57
2020-02-28,74
2020-02-29,39
2020-03-01,57
2020-03-02,57
2020-03-03,59
2020-03-04,58
2020-03-05,81
2020-03-06,92
2020-03-07,43
2020-03-08,46
2020-03-09,63
2020-03-10,66
2020-03-11,33
2020-03-12,52
2020-03-13,57
2020-03-14,50
2020-03-15,35
2020-03-16,51
2020-03-17,38
2020-03-18,30
2020-03-19,33
2020-03-20,32
2020-03-21,47
2020-03-22,24
2020-03-23,50
2020-03-24,29
2020-03-25,65
2020-03-26,45
2020-03-27,36
2020-03-28,33
2020-03-29,39
2020-03-30,45
2020-03-31,51
2020-04-01,51
2020-04-02,46
2020-04-03,49
2020-04-04,29
2020-04-05,46
2020-04-06,31
2020-04-07,52
2020-04-08,40
2020-04-09,60
2020-04-10,32
2020-04-11,49
2020-04-12,46
2020-04-13,48
2020-04-14,47
2020-04-15,38
2020-04-16,57
2020-04-17,46
2020-04-18,44
2020-04-19,77
2020-04-20,77
2020-04-21,53
2020-04-22,56
2020-04-23,52
2020-04-24,49
2020-04-25,47
2020-04-26,58
2020-04-27,56
2020-04-28,56
2020-04-29,44
2020-04-30,44
2020-05-01,31
2020-05-02,55
2020-05-03,37
2020-05-04,50
2020-05-05,53
2020-05-06,53
2020-05-07,48
2020-05-08,53
