apple,isPartial,date
32,False,2019-05-19
32,False,2019-05-26
38,False,2019-06-02
33,False,2019-06-09
33,False,2019-06-16
33,False,2019-06-23
32,False,2019-06-30
32,False,2019-07-07
34,False,2019-07-14
33,False,2019-07-21
34,False,2019-07-28
33,False,2019-08-04
35,False,2019-08-11
37,False,2019-08-18
55,False,2019-08-25
100,False,2019-09-01
97,False,2019-09-08
83,False,2019-09-15
66,False,2019-09-22
46,False,2019-09-29
45,False,2019-10-06
43,False,2019-10-13
41,False,2019-10-20
42,False,2019-10-27
40,False,2019-11-03
44,False,2019-11-10
43,False,2019-11-17
64,False,2019-11-24
48,False,2019-12-01
40,False,2019-12-08
43,False,2019-12-15
58,False,2019-12-22
42,False,2019-12-29
38,False,2020-01-05
36,False,2020-01-12
36,False,2020-01-19
34,False,2020-01-26
32,False,2020-02-02
33,False,2020-02-09
33,False,2020-02-16
34,False,2020-02-23
33,False,2020-03-01
32,False,2020-03-08
33,False,2020-03-15
34,False,2020-03-22
33,False,2020-03-29
33,False,2020-04-05
38,False,2020-04-12
37,False,2020-04-19
38,False,2020-04-26
40,False,2020-05-03
