memory pillow,isPartial,date
58,False,2019-08-11
63,False,2019-08-18
57,False,2019-08-25
61,False,2019-09-01
54,False,2019-09-08
56,False,2019-09-15
50,False,2019-09-22
50,False,2019-09-29
43,False,2019-10-06
52,False,2019-10-13
58,False,2019-10-20
52,False,2019-10-27
52,False,2019-11-03
62,False,2019-11-10
69,False,2019-11-17
100,False,2019-11-24
90,False,2019-12-01
83,False,2019-12-08
91,False,2019-12-15
91,False,2019-12-22
81,False,2019-12-29
85,False,2020-01-05
66,False,2020-01-12
63,False,2020-01-19
65,False,2020-01-26
63,False,2020-02-02
53,False,2020-02-09
71,False,2020-02-16
58,False,2020-02-23
57,False,2020-03-01
59,False,2020-03-08
39,False,2020-03-15
43,False,2020-03-22
47,False,2020-03-29
48,False,2020-04-05
63,False,2020-04-12
64,False,2020-04-19
76,False,2020-04-26
71,False,2020-05-03
64,False,2020-05-10
78,False,2020-05-17
83,False,2020-05-24
69,False,2020-05-31
70,False,2020-06-07
67,False,2020-06-14
64,False,2020-06-21
75,False,2020-06-28
81,False,2020-07-05
70,False,2020-07-12
79,False,2020-07-19
88,False,2020-07-26
80,True,2020-08-02
